14	15	16	17	18	19	20	21	22	23	5	24	25	26	27	28	29	30	31	32	6	33	7	8	9	10	11	12	13
UpArrow	Spade	UpArrow	Spade	DarkPurple	LightBlue	LightGreen	Spike	Bar	Spike	Sawblade	LightBlue	UpArrow	UpArrow	DarkYellow	LightGray	LightBlue	LightBlue	Nail	Dodecagon	LightTurquiose	Hat	LightGreen	LightBlue	LightRed	Lock	LightBlue	UpArrow	DarkGray
UpArrow	Spade	UpArrow	Spade	DarkPurple	LightBlue	LightGreen	Spike	Bar	Spike	Sawblade	LightBlue	UpArrow	UpArrow	DarkYellow	LightGray	LightBlue	LightBlue	Nail	Dodecagon	LightTurquiose	Hat	LightGreen	LightBlue	LightRed	Lock	LightBlue	UpArrow	DarkGray
UpArrow	Spade	UpArrow	Spade	DarkPurple	LightBlue	LightGreen	Spike	Bar	Spike	Sawblade	LightBlue	UpArrow	UpArrow	DarkYellow	LightGray	LightBlue	LightBlue	Nail	Dodecagon	LightTurquiose	Hat	LightGreen	LightBlue	LightRed	Lock	LightBlue	UpArrow	DarkGray
UpArrow_Choice	Spade_Choice	UpArrow_Choice	Spade_Choice	DarkPurple_Choice	LightBlue_Choice	LightGreen_Choice	Spike_Choice	Bar_Choice	Spike_Choice	Sawblade_Choice	LightBlue_Choice	UpArrow_Choice	UpArrow_Choice	DarkYellow_Choice	LightGray_Choice	LightBlue_Choice	LightBlue_Choice	Nail_Choice	Dodecagon_Choice	LightTurquiose_Choice	Hat_Choice	LightGreen_Choice	LightBlue_Choice	LightRed_Choice	Lock_Choice	LightBlue_Choice	UpArrow_Choice	DarkGray_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Sawblade	DarkRed	Spade	UpArrow	Hat	DarkGreen	DarkYellow	DarkGreen	DarkYellow	DarkGray	DarkRed	Spike	LightBlue	LightBlue	UpArrow	Nail	Nail	LightRed	Hourglass	DarkGray	LightBlue	Spike	LightBlue	LightYellow	Hourglass	LightRed	Hat	LightBlue	Sawblade
Sawblade	DarkRed	Spade	UpArrow	Hat	DarkGreen	DarkYellow	DarkGreen	DarkYellow	DarkGray	DarkRed	Spike	LightBlue	LightBlue	UpArrow	Nail	Nail	LightRed	Hourglass	DarkGray	LightBlue	Spike	LightBlue	LightYellow	Hourglass	LightRed	Hat	LightBlue	Sawblade
Sawblade	DarkRed	Spade	UpArrow	Hat	DarkGreen	DarkYellow	DarkGreen	DarkYellow	DarkGray	DarkRed	Spike	LightBlue	LightBlue	UpArrow	Nail	Nail	LightRed	Hourglass	DarkGray	LightBlue	Spike	LightBlue	LightYellow	Hourglass	LightRed	Hat	LightBlue	Sawblade
