6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	4	5
DarkGreen	Spade	Bar	UpArrow	Rabbit	Diamond	LightYellow	Spade	Hat	Rabbit	LightPurple	DarkRed	Diamond	DarkGreen	Diamond	DarkGray	Diamond	Hat	DarkBlue	DarkBlue	Hat	Hat	Hat	Spade	Hat	LightPurple	Nail
DarkGreen	Spade	Bar	UpArrow	Rabbit	Diamond	LightYellow	Spade	Hat	Rabbit	LightPurple	DarkRed	Diamond	DarkGreen	Diamond	DarkGray	Diamond	Hat	DarkBlue	DarkBlue	Hat	Hat	Hat	Spade	Hat	LightPurple	Nail
DarkGreen	Spade	Bar	UpArrow	Rabbit	Diamond	LightYellow	Spade	Hat	Rabbit	LightPurple	DarkRed	Diamond	DarkGreen	Diamond	DarkGray	Diamond	Hat	DarkBlue	DarkBlue	Hat	Hat	Hat	Spade	Hat	LightPurple	Nail
DarkGreen_Choice	Spade_Choice	Bar_Choice	UpArrow_Choice	Rabbit_Choice	Diamond_Choice	LightYellow_Choice	Spade_Choice	Hat_Choice	Rabbit_Choice	LightPurple_Choice	DarkRed_Choice	Diamond_Choice	DarkGreen_Choice	Diamond_Choice	DarkGray_Choice	Diamond_Choice	Hat_Choice	DarkBlue_Choice	DarkBlue_Choice	Hat_Choice	Hat_Choice	Hat_Choice	Spade_Choice	Hat_Choice	LightPurple_Choice	Nail_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
