6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	4	5
LightYellow	Spade	Diamond	UpArrow	DarkGreen	Nail	DarkBlue	Nail	Bar	UpArrow	Nail	Rabbit	DarkBlue	DarkRed	DarkGreen	Hat	UpArrow	DarkRed	DarkRed	Rabbit	UpArrow	UpArrow	UpArrow	Spade	UpArrow	DarkGreen	Bar
LightYellow_Choice	Spade_Choice	Diamond_Choice	UpArrow_Choice	DarkGreen_Choice	Nail_Choice	DarkBlue_Choice	Nail_Choice	Bar_Choice	UpArrow_Choice	Nail_Choice	Rabbit_Choice	DarkBlue_Choice	DarkRed_Choice	DarkGreen_Choice	Hat_Choice	UpArrow_Choice	DarkRed_Choice	DarkRed_Choice	Rabbit_Choice	UpArrow_Choice	UpArrow_Choice	UpArrow_Choice	Spade_Choice	UpArrow_Choice	DarkGreen_Choice	Bar_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGray	DarkRed	DarkGray	DarkGreen	LightTurquiose	UpArrow	DarkBlue	LightYellow	Hat	Hat	Diamond	Nail	DarkGreen	Nail	LightTurquiose	DarkBlue	LightYellow	UpArrow	DarkGreen	Bar	DarkBlue	DarkBlue	DarkBlue	Diamond	DarkBlue	Nail	Nail
DarkGray	DarkRed	DarkGray	DarkGreen	LightTurquiose	UpArrow	DarkBlue	LightYellow	Hat	Hat	Diamond	Nail	DarkGreen	Nail	LightTurquiose	DarkBlue	LightYellow	UpArrow	DarkGreen	Bar	DarkBlue	DarkBlue	DarkBlue	Diamond	DarkBlue	Nail	Nail
DarkGray	DarkRed	DarkGray	DarkGreen	LightTurquiose	UpArrow	DarkBlue	LightYellow	Hat	Hat	Diamond	Nail	DarkGreen	Nail	LightTurquiose	DarkBlue	LightYellow	UpArrow	DarkGreen	Bar	DarkBlue	DarkBlue	DarkBlue	Diamond	DarkBlue	Nail	Nail
DarkGray_Choice	DarkRed_Choice	DarkGray_Choice	DarkGreen_Choice	LightTurquiose_Choice	UpArrow_Choice	DarkBlue_Choice	LightYellow_Choice	Hat_Choice	Hat_Choice	Diamond_Choice	Nail_Choice	DarkGreen_Choice	Nail_Choice	LightTurquiose_Choice	DarkBlue_Choice	LightYellow_Choice	UpArrow_Choice	DarkGreen_Choice	Bar_Choice	DarkBlue_Choice	DarkBlue_Choice	DarkBlue_Choice	Diamond_Choice	DarkBlue_Choice	Nail_Choice	Nail_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightTurquiose	LightTurquiose	Nail	Spade	DarkGray	LightPurple	UpArrow	LightPurple	DarkGreen	Rabbit	Nail	Rabbit	DarkGreen	Bar	DarkBlue	Rabbit	LightTurquiose	Nail	DarkBlue	Spade	LightTurquiose	LightTurquiose	LightTurquiose	Diamond	LightTurquiose	DarkRed	DarkGray
LightTurquiose	LightTurquiose	Nail	Spade	DarkGray	LightPurple	UpArrow	LightPurple	DarkGreen	Rabbit	Nail	Rabbit	DarkGreen	Bar	DarkBlue	Rabbit	LightTurquiose	Nail	DarkBlue	Spade	LightTurquiose	LightTurquiose	LightTurquiose	Diamond	LightTurquiose	DarkRed	DarkGray
LightTurquiose	LightTurquiose	Nail	Spade	DarkGray	LightPurple	UpArrow	LightPurple	DarkGreen	Rabbit	Nail	Rabbit	DarkGreen	Bar	DarkBlue	Rabbit	LightTurquiose	Nail	DarkBlue	Spade	LightTurquiose	LightTurquiose	LightTurquiose	Diamond	LightTurquiose	DarkRed	DarkGray
LightTurquiose_Choice	LightTurquiose_Choice	Nail_Choice	Spade_Choice	DarkGray_Choice	LightPurple_Choice	UpArrow_Choice	LightPurple_Choice	DarkGreen_Choice	Rabbit_Choice	Nail_Choice	Rabbit_Choice	DarkGreen_Choice	Bar_Choice	DarkBlue_Choice	Rabbit_Choice	LightTurquiose_Choice	Nail_Choice	DarkBlue_Choice	Spade_Choice	LightTurquiose_Choice	LightTurquiose_Choice	LightTurquiose_Choice	Diamond_Choice	LightTurquiose_Choice	DarkRed_Choice	DarkGray_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
