13	14	15	16	17	18	19	20	21	22	4	23	24	25	26	27	28	29	30	31	5	6	7	8	9	10	11	12
DarkGray	DarkBlue	Bar	LightTurquiose	Bar	Bar	Diamond	DarkGreen	DarkGreen	Bar	LightPurple	Bar	LightYellow	DarkBlue	Spade	Rabbit	LightTurquiose	Nail	DarkGray	Rabbit	UpArrow	Diamond	Rabbit	Bar	DarkGray	Nail	Rabbit	UpArrow
DarkGray_Choice	DarkBlue_Choice	Bar_Choice	LightTurquiose_Choice	Bar_Choice	Bar_Choice	Diamond_Choice	DarkGreen_Choice	DarkGreen_Choice	Bar_Choice	LightPurple_Choice	Bar_Choice	LightYellow_Choice	DarkBlue_Choice	Spade_Choice	Rabbit_Choice	LightTurquiose_Choice	Nail_Choice	DarkGray_Choice	Rabbit_Choice	UpArrow_Choice	Diamond_Choice	Rabbit_Choice	Bar_Choice	DarkGray_Choice	Nail_Choice	Rabbit_Choice	UpArrow_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Spade	Rabbit	Spade	DarkGreen	Rabbit	UpArrow	Diamond	LightPurple	DarkBlue	Diamond	DarkRed	LightTurquiose	DarkBlue	Bar	Spade	DarkBlue	Rabbit	DarkGray	LightYellow	LightTurquiose	DarkGray	LightPurple	DarkGreen	LightPurple	UpArrow	Rabbit	Bar	UpArrow
Spade	Rabbit	Spade	DarkGreen	Rabbit	UpArrow	Diamond	LightPurple	DarkBlue	Diamond	DarkRed	LightTurquiose	DarkBlue	Bar	Spade	DarkBlue	Rabbit	DarkGray	LightYellow	LightTurquiose	DarkGray	LightPurple	DarkGreen	LightPurple	UpArrow	Rabbit	Bar	UpArrow
Spade	Rabbit	Spade	DarkGreen	Rabbit	UpArrow	Diamond	LightPurple	DarkBlue	Diamond	DarkRed	LightTurquiose	DarkBlue	Bar	Spade	DarkBlue	Rabbit	DarkGray	LightYellow	LightTurquiose	DarkGray	LightPurple	DarkGreen	LightPurple	UpArrow	Rabbit	Bar	UpArrow
Spade_Choice	Rabbit_Choice	Spade_Choice	DarkGreen_Choice	Rabbit_Choice	UpArrow_Choice	Diamond_Choice	LightPurple_Choice	DarkBlue_Choice	Diamond_Choice	DarkRed_Choice	LightTurquiose_Choice	DarkBlue_Choice	Bar_Choice	Spade_Choice	DarkBlue_Choice	Rabbit_Choice	DarkGray_Choice	LightYellow_Choice	LightTurquiose_Choice	DarkGray_Choice	LightPurple_Choice	DarkGreen_Choice	LightPurple_Choice	UpArrow_Choice	Rabbit_Choice	Bar_Choice	UpArrow_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGray	DarkRed	DarkGreen	Nail	DarkGray	DarkGreen	Rabbit	Nail	Diamond	Nail	Diamond	Hat	LightPurple	DarkRed	Nail	LightTurquiose	Rabbit	Hat	LightYellow	UpArrow	Nail	Diamond	DarkGray	DarkBlue	Rabbit	LightYellow	DarkRed	DarkRed
DarkGray	DarkRed	DarkGreen	Nail	DarkGray	DarkGreen	Rabbit	Nail	Diamond	Nail	Diamond	Hat	LightPurple	DarkRed	Nail	LightTurquiose	Rabbit	Hat	LightYellow	UpArrow	Nail	Diamond	DarkGray	DarkBlue	Rabbit	LightYellow	DarkRed	DarkRed
DarkGray	DarkRed	DarkGreen	Nail	DarkGray	DarkGreen	Rabbit	Nail	Diamond	Nail	Diamond	Hat	LightPurple	DarkRed	Nail	LightTurquiose	Rabbit	Hat	LightYellow	UpArrow	Nail	Diamond	DarkGray	DarkBlue	Rabbit	LightYellow	DarkRed	DarkRed
DarkGray_Choice	DarkRed_Choice	DarkGreen_Choice	Nail_Choice	DarkGray_Choice	DarkGreen_Choice	Rabbit_Choice	Nail_Choice	Diamond_Choice	Nail_Choice	Diamond_Choice	Hat_Choice	LightPurple_Choice	DarkRed_Choice	Nail_Choice	LightTurquiose_Choice	Rabbit_Choice	Hat_Choice	LightYellow_Choice	UpArrow_Choice	Nail_Choice	Diamond_Choice	DarkGray_Choice	DarkBlue_Choice	Rabbit_Choice	LightYellow_Choice	DarkRed_Choice	DarkRed_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightYellow	Rabbit	Spade	DarkGreen	Rabbit	Hat	Spade	DarkGreen	Hat	Bar	DarkBlue	Nail	Hat	Diamond	UpArrow	Nail	LightYellow	Diamond	Diamond	LightTurquiose	LightYellow	Spade	DarkGray	LightPurple	Diamond	Diamond	DarkBlue	Nail
LightYellow	Rabbit	Spade	DarkGreen	Rabbit	Hat	Spade	DarkGreen	Hat	Bar	DarkBlue	Nail	Hat	Diamond	UpArrow	Nail	LightYellow	Diamond	Diamond	LightTurquiose	LightYellow	Spade	DarkGray	LightPurple	Diamond	Diamond	DarkBlue	Nail
LightYellow	Rabbit	Spade	DarkGreen	Rabbit	Hat	Spade	DarkGreen	Hat	Bar	DarkBlue	Nail	Hat	Diamond	UpArrow	Nail	LightYellow	Diamond	Diamond	LightTurquiose	LightYellow	Spade	DarkGray	LightPurple	Diamond	Diamond	DarkBlue	Nail
LightYellow_Choice	Rabbit_Choice	Spade_Choice	DarkGreen_Choice	Rabbit_Choice	Hat_Choice	Spade_Choice	DarkGreen_Choice	Hat_Choice	Bar_Choice	DarkBlue_Choice	Nail_Choice	Hat_Choice	Diamond_Choice	UpArrow_Choice	Nail_Choice	LightYellow_Choice	Diamond_Choice	Diamond_Choice	LightTurquiose_Choice	LightYellow_Choice	Spade_Choice	DarkGray_Choice	LightPurple_Choice	Diamond_Choice	Diamond_Choice	DarkBlue_Choice	Nail_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkBlue	DarkBlue	Spade	LightYellow	LightTurquiose	LightPurple	Diamond	DarkRed	Rabbit	DarkBlue	DarkGray	LightTurquiose	LightYellow	Spade	UpArrow	LightYellow	DarkGreen	DarkGray	LightPurple	DarkBlue	Rabbit	LightYellow	DarkGreen	Nail	DarkGreen	LightTurquiose	DarkRed	LightPurple
DarkBlue	DarkBlue	Spade	LightYellow	LightTurquiose	LightPurple	Diamond	DarkRed	Rabbit	DarkBlue	DarkGray	LightTurquiose	LightYellow	Spade	UpArrow	LightYellow	DarkGreen	DarkGray	LightPurple	DarkBlue	Rabbit	LightYellow	DarkGreen	Nail	DarkGreen	LightTurquiose	DarkRed	LightPurple
DarkBlue	DarkBlue	Spade	LightYellow	LightTurquiose	LightPurple	Diamond	DarkRed	Rabbit	DarkBlue	DarkGray	LightTurquiose	LightYellow	Spade	UpArrow	LightYellow	DarkGreen	DarkGray	LightPurple	DarkBlue	Rabbit	LightYellow	DarkGreen	Nail	DarkGreen	LightTurquiose	DarkRed	LightPurple
DarkBlue_Choice	DarkBlue_Choice	Spade_Choice	LightYellow_Choice	LightTurquiose_Choice	LightPurple_Choice	Diamond_Choice	DarkRed_Choice	Rabbit_Choice	DarkBlue_Choice	DarkGray_Choice	LightTurquiose_Choice	LightYellow_Choice	Spade_Choice	UpArrow_Choice	LightYellow_Choice	DarkGreen_Choice	DarkGray_Choice	LightPurple_Choice	DarkBlue_Choice	Rabbit_Choice	LightYellow_Choice	DarkGreen_Choice	Nail_Choice	DarkGreen_Choice	LightTurquiose_Choice	DarkRed_Choice	LightPurple_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
