,roi,identity_mean,identity_std,cross_mean,cross_std
0,sl_lh_ant_color,0.22129629629629627,0.011606436237705249,0.22207482993197275,0.01341292363473757
1,sl_rh_v4d_color,0.27175925925925926,0.011789658868747077,0.20727891156462586,0.014736333223294444
2,sl_rh_post_object,0.24884259259259256,0.01037801470900921,0.231530612244898,0.016982840261392577
3,sl_rh_mid_object,0.230787037037037,0.016475888564142827,0.21040816326530615,0.013569851407854334
4,sl_rh_mid_color,0.257175925925926,0.005039708578027148,0.22952380952380952,0.01595002375865943
5,hef_lh_ant3amm_face,0.2127314814814815,0.008765785291093281,0.20132653061224487,0.005561406516815456
6,sl_lh_ant1_face,0.19930555555555557,0.005688984133076162,0.16894557823129253,0.011072251450657588
7,sl_lh_v4d_color,0.26967592592592593,0.018387849174292127,0.20108843537414964,0.0043884142309336596
8,sl_lh_mid_color,0.25763888888888886,0.013977341795787523,0.2103061224489796,0.006979505641880676
9,sl_lh_v4v_color,0.29791666666666666,0.01010596294117734,0.20673469387755103,0.014386026174243846
10,sl_lh_ant_obj,0.25277777777777777,0.0077330060594861414,0.21125850340136054,0.01613708110670742
11,sl_rh_post_face,0.22314814814814818,0.006684967165830396,0.21537414965986396,0.02552983371751821
12,sl_lh_post_face,0.21643518518518517,0.011916238589105326,0.19588435374149663,0.014516439366910635
13,sl_lh_post_obj,0.24375,0.012900809993604415,0.1932312925170068,0.0124567835470332
14,sl_lh_post_color,0.28935185185185186,0.006423350428477597,0.26506802721088435,0.00876838818732279
15,sl_lh_mid_face,0.25115740740740744,0.004268307619117083,0.24187074829931973,0.01204552350435852
16,sl_rh_ant2_AM_face,0.21435185185185185,0.004932239757560764,0.20697278911564623,0.00906639655459989
17,sl_rh_ant_object,0.2627314814814815,0.016931410692509027,0.21534013605442176,0.017158304777368853
18,sl_rh_ant1_face,0.20277777777777778,0.007829414132077666,0.21346938775510207,0.019275063346435896
19,sl_rh_post_color,0.3023148148148148,0.013041264834262286,0.1845578231292517,0.026643619430999126
20,sl_rh_v4v_color,0.25300925925925927,0.020530202082075663,0.18789115646258506,0.01937265195235259
21,sl_lh_ant2_am_face,0.21574074074074073,0.01232733977379106,0.20605442176870747,0.01006802721088436
22,hef_rh_ant_color,0.21782407407407406,0.020038863988730695,0.20051020408163267,0.016464482377873534
23,sl_rh_mid_face,0.24351851851851852,0.007593157160581812,0.24571428571428572,0.0161076599123898
24,sl_lh_mid_obj,0.2613425925925926,0.01908002873610638,0.22826530612244897,0.009311531228445533
