,roi,identity_mean,identity_std,cross_mean,cross_std
0,sl_lh_ant_color,0.24625850340136055,0.023883913591763416,0.2092361111111111,0.018998926322002747
1,sl_rh_v4d_color,0.3049886621315193,0.021028613368470984,0.20864583333333334,0.005803287369252315
2,sl_rh_post_object,0.255328798185941,0.007835443330236272,0.20548611111111112,0.007596631858028909
3,sl_rh_mid_object,0.26326530612244897,0.010475110623538413,0.2033333333333333,0.004899894887383544
4,sl_rh_mid_color,0.2746031746031746,0.008435861785822351,0.19659722222222223,0.007518463641242897
5,hef_lh_ant3amm_face,0.22403628117913832,0.019553796949941138,0.22270833333333334,0.004299671158112119
6,sl_lh_ant1_face,0.23378684807256236,0.011856613571339112,0.19184027777777776,0.016110138260857686
7,sl_lh_v4d_color,0.23786848072562358,0.009415210653980356,0.21965277777777778,0.01054172613802577
8,sl_lh_mid_color,0.27052154195011335,0.009977324263038555,0.21166666666666667,0.014431417737049762
9,sl_lh_v4v_color,0.27755102040816326,0.007534352710129767,0.22972222222222224,0.008763079950339914
10,sl_lh_ant_obj,0.2680272108843537,0.01718874708231041,0.18350694444444443,0.015588305678288231
11,sl_rh_post_face,0.23968253968253966,0.00610983836068366,0.1838888888888889,0.009427195236700275
12,sl_lh_post_face,0.21768707482993194,0.012564077258226815,0.1623263888888889,0.014351245133531651
13,sl_lh_post_obj,0.24580498866213155,0.021588444871495523,0.20013888888888892,0.01682770865416272
14,sl_lh_post_color,0.33242630385487526,0.00908162557573731,0.24920138888888888,0.02031134255961614
15,sl_lh_mid_face,0.2657596371882086,0.013233774568176766,0.22934027777777777,0.021465523786289332
16,sl_rh_ant2_AM_face,0.21609977324263036,0.014983155135312284,0.19961805555555553,0.022846430668490066
17,sl_rh_ant_object,0.26281179138322,0.021480997429097586,0.2000694444444444,0.0017995359055347196
18,sl_rh_ant1_face,0.2310657596371882,0.019682226190592043,0.1770486111111111,0.014355193010127885
19,sl_rh_post_color,0.31111111111111106,0.013038055792712054,0.22572916666666668,0.009109141894239151
20,sl_rh_v4v_color,0.2578231292517007,0.006787587096188555,0.18888888888888888,0.009228536994655675
21,sl_lh_ant2_am_face,0.23378684807256236,0.012551793653603665,0.20218750000000002,0.007790168701322309
22,hef_rh_ant_color,0.22108843537414966,0.009910101307669918,0.2112847222222222,0.016360026374152428
23,sl_rh_mid_face,0.28662131519274375,0.012935111743266817,0.2284027777777778,0.012099386686068529
24,sl_lh_mid_obj,0.27052154195011335,0.020060018643624913,0.2084027777777778,0.005314428662252684
