12	13	14	15	16	17	18	19	20	21	4	22	23	24	25	26	27	28	5	6	7	8	9	10	11
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Spade	DarkRed	Nail	Bar	DarkGreen	DarkGray	LightTurquiose	DarkBlue	Diamond	DarkBlue	Spade	Nail	Nail	DarkRed	DarkGray	DarkRed	DarkRed	Hat	UpArrow	LightYellow	LightYellow	LightYellow	LightPurple	LightPurple	Bar
Spade	DarkRed	Nail	Bar	DarkGreen	DarkGray	LightTurquiose	DarkBlue	Diamond	DarkBlue	Spade	Nail	Nail	DarkRed	DarkGray	DarkRed	DarkRed	Hat	UpArrow	LightYellow	LightYellow	LightYellow	LightPurple	LightPurple	Bar
Spade	DarkRed	Nail	Bar	DarkGreen	DarkGray	LightTurquiose	DarkBlue	Diamond	DarkBlue	Spade	Nail	Nail	DarkRed	DarkGray	DarkRed	DarkRed	Hat	UpArrow	LightYellow	LightYellow	LightYellow	LightPurple	LightPurple	Bar
Spade_Choice	DarkRed_Choice	Nail_Choice	Bar_Choice	DarkGreen_Choice	DarkGray_Choice	LightTurquiose_Choice	DarkBlue_Choice	Diamond_Choice	DarkBlue_Choice	Spade_Choice	Nail_Choice	Nail_Choice	DarkRed_Choice	DarkGray_Choice	DarkRed_Choice	DarkRed_Choice	Hat_Choice	UpArrow_Choice	LightYellow_Choice	LightYellow_Choice	LightYellow_Choice	LightPurple_Choice	LightPurple_Choice	Bar_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Rabbit	DarkGreen	Nail	DarkBlue	LightTurquiose	DarkRed	Diamond	LightTurquiose	Bar	DarkGray	Hat	DarkGreen	DarkGreen	Rabbit	LightPurple	LightYellow	UpArrow	UpArrow	Spade	LightYellow	DarkRed	DarkRed	DarkGreen	Hat	Nail
Rabbit	DarkGreen	Nail	DarkBlue	LightTurquiose	DarkRed	Diamond	LightTurquiose	Bar	DarkGray	Hat	DarkGreen	DarkGreen	Rabbit	LightPurple	LightYellow	UpArrow	UpArrow	Spade	LightYellow	DarkRed	DarkRed	DarkGreen	Hat	Nail
Rabbit	DarkGreen	Nail	DarkBlue	LightTurquiose	DarkRed	Diamond	LightTurquiose	Bar	DarkGray	Hat	DarkGreen	DarkGreen	Rabbit	LightPurple	LightYellow	UpArrow	UpArrow	Spade	LightYellow	DarkRed	DarkRed	DarkGreen	Hat	Nail
Rabbit_Choice	DarkGreen_Choice	Nail_Choice	DarkBlue_Choice	LightTurquiose_Choice	DarkRed_Choice	Diamond_Choice	LightTurquiose_Choice	Bar_Choice	DarkGray_Choice	Hat_Choice	DarkGreen_Choice	DarkGreen_Choice	Rabbit_Choice	LightPurple_Choice	LightYellow_Choice	UpArrow_Choice	UpArrow_Choice	Spade_Choice	LightYellow_Choice	DarkRed_Choice	DarkRed_Choice	DarkGreen_Choice	Hat_Choice	Nail_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
UpArrow	Bar	DarkGray	Nail	LightTurquiose	UpArrow	Diamond	LightPurple	Rabbit	Hat	Bar	DarkGray	DarkGray	Hat	DarkRed	Diamond	Spade	LightYellow	LightTurquiose	LightTurquiose	Spade	Spade	DarkBlue	Diamond	Spade
