18	19	20	21	22	23	24	25	26	27	6	28	29	33	10	11	12	13	14	15	16	17
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkBlue	Dodecagon	LightTurquiose	Hourglass	UpArrow	DarkTurquiose	LightRed	Nail	DarkRed	DarkRed	LightGreen	UpArrow	DarkGray	DarkGray	LightGreen	DarkTurquiose	Dodecagon	LightTurquiose	LightGreen	LightGreen	Spade	Lock
DarkBlue	Dodecagon	LightTurquiose	Hourglass	UpArrow	DarkTurquiose	LightRed	Nail	DarkRed	DarkRed	LightGreen	UpArrow	DarkGray	DarkGray	LightGreen	DarkTurquiose	Dodecagon	LightTurquiose	LightGreen	LightGreen	Spade	Lock
DarkBlue	Dodecagon	LightTurquiose	Hourglass	UpArrow	DarkTurquiose	LightRed	Nail	DarkRed	DarkRed	LightGreen	UpArrow	DarkGray	DarkGray	LightGreen	DarkTurquiose	Dodecagon	LightTurquiose	LightGreen	LightGreen	Spade	Lock
DarkBlue_Choice	Dodecagon_Choice	LightTurquiose_Choice	Hourglass_Choice	UpArrow_Choice	DarkTurquiose_Choice	LightRed_Choice	Nail_Choice	DarkRed_Choice	DarkRed_Choice	LightGreen_Choice	UpArrow_Choice	DarkGray_Choice	DarkGray_Choice	LightGreen_Choice	DarkTurquiose_Choice	Dodecagon_Choice	LightTurquiose_Choice	LightGreen_Choice	LightGreen_Choice	Spade_Choice	Lock_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Nail	Lock	LightTurquiose	DarkRed	UpArrow	Hourglass	LightRed	DarkBlue	Lock	Diamond	LightPurple	Nail	LightGreen	LightGreen	LightPurple	Lock	LightGreen	LightGreen	Sawblade	LightTurquiose	Spade	Lock
Nail	Lock	LightTurquiose	DarkRed	UpArrow	Hourglass	LightRed	DarkBlue	Lock	Diamond	LightPurple	Nail	LightGreen	LightGreen	LightPurple	Lock	LightGreen	LightGreen	Sawblade	LightTurquiose	Spade	Lock
Nail	Lock	LightTurquiose	DarkRed	UpArrow	Hourglass	LightRed	DarkBlue	Lock	Diamond	LightPurple	Nail	LightGreen	LightGreen	LightPurple	Lock	LightGreen	LightGreen	Sawblade	LightTurquiose	Spade	Lock
Nail_Choice	Lock_Choice	LightTurquiose_Choice	DarkRed_Choice	UpArrow_Choice	Hourglass_Choice	LightRed_Choice	DarkBlue_Choice	Lock_Choice	Diamond_Choice	LightPurple_Choice	Nail_Choice	LightGreen_Choice	LightGreen_Choice	LightPurple_Choice	Lock_Choice	LightGreen_Choice	LightGreen_Choice	Sawblade_Choice	LightTurquiose_Choice	Spade_Choice	Lock_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Nail	Spade	Lock	DarkTurquiose	Dodecagon	Dodecagon	DarkRed	DarkBlue	DarkBlue	LightGreen	LightPurple	LightYellow	Bar	Bar	LightPurple	Lock	LightGreen	Lock	LightGreen	Spade	LightGreen	LightGreen
Nail	Spade	Lock	DarkTurquiose	Dodecagon	Dodecagon	DarkRed	DarkBlue	DarkBlue	LightGreen	LightPurple	LightYellow	Bar	Bar	LightPurple	Lock	LightGreen	Lock	LightGreen	Spade	LightGreen	LightGreen
Nail	Spade	Lock	DarkTurquiose	Dodecagon	Dodecagon	DarkRed	DarkBlue	DarkBlue	LightGreen	LightPurple	LightYellow	Bar	Bar	LightPurple	Lock	LightGreen	Lock	LightGreen	Spade	LightGreen	LightGreen
Nail_Choice	Spade_Choice	Lock_Choice	DarkTurquiose_Choice	Dodecagon_Choice	Dodecagon_Choice	DarkRed_Choice	DarkBlue_Choice	DarkBlue_Choice	LightGreen_Choice	LightPurple_Choice	LightYellow_Choice	Bar_Choice	Bar_Choice	LightPurple_Choice	Lock_Choice	LightGreen_Choice	Lock_Choice	LightGreen_Choice	Spade_Choice	LightGreen_Choice	LightGreen_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkTurquiose	LightGreen	DarkBlue	Dodecagon	LightRed	DarkGreen	UpArrow	Lock	Nail	Diamond	LightGreen	Diamond	Hat	Hat	LightGreen	Rabbit	Rabbit	Nail	Nail	Nail	LightGreen	Lock
DarkTurquiose	LightGreen	DarkBlue	Dodecagon	LightRed	DarkGreen	UpArrow	Lock	Nail	Diamond	LightGreen	Diamond	Hat	Hat	LightGreen	Rabbit	Rabbit	Nail	Nail	Nail	LightGreen	Lock
DarkTurquiose	LightGreen	DarkBlue	Dodecagon	LightRed	DarkGreen	UpArrow	Lock	Nail	Diamond	LightGreen	Diamond	Hat	Hat	LightGreen	Rabbit	Rabbit	Nail	Nail	Nail	LightGreen	Lock
DarkTurquiose_Choice	LightGreen_Choice	DarkBlue_Choice	Dodecagon_Choice	LightRed_Choice	DarkGreen_Choice	UpArrow_Choice	Lock_Choice	Nail_Choice	Diamond_Choice	LightGreen_Choice	Diamond_Choice	Hat_Choice	Hat_Choice	LightGreen_Choice	Rabbit_Choice	Rabbit_Choice	Nail_Choice	Nail_Choice	Nail_Choice	LightGreen_Choice	Lock_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkBlue	Nail	LightTurquiose	DarkRed	Dodecagon	Bar	DarkRed	Nail	LightGreen	DarkBlue	DarkTurquiose	LightYellow	DarkGray	DarkGray	DarkTurquiose	Rabbit	Dodecagon	Nail	LightGreen	LightBlue	Spade	Dodecagon
DarkBlue	Nail	LightTurquiose	DarkRed	Dodecagon	Bar	DarkRed	Nail	LightGreen	DarkBlue	DarkTurquiose	LightYellow	DarkGray	DarkGray	DarkTurquiose	Rabbit	Dodecagon	Nail	LightGreen	LightBlue	Spade	Dodecagon
DarkBlue	Nail	LightTurquiose	DarkRed	Dodecagon	Bar	DarkRed	Nail	LightGreen	DarkBlue	DarkTurquiose	LightYellow	DarkGray	DarkGray	DarkTurquiose	Rabbit	Dodecagon	Nail	LightGreen	LightBlue	Spade	Dodecagon
DarkBlue_Choice	Nail_Choice	LightTurquiose_Choice	DarkRed_Choice	Dodecagon_Choice	Bar_Choice	DarkRed_Choice	Nail_Choice	LightGreen_Choice	DarkBlue_Choice	DarkTurquiose_Choice	LightYellow_Choice	DarkGray_Choice	DarkGray_Choice	DarkTurquiose_Choice	Rabbit_Choice	Dodecagon_Choice	Nail_Choice	LightGreen_Choice	LightBlue_Choice	Spade_Choice	Dodecagon_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkTurquiose	Spade	Nail	DarkRed	Bar	Bar	Dodecagon	UpArrow	DarkRed	LightYellow	Hat	Nail	DarkGray	DarkGray	Hat	DarkTurquiose	Hat	Sawblade	LightBlue	LightTurquiose	Lock	Nail
DarkTurquiose	Spade	Nail	DarkRed	Bar	Bar	Dodecagon	UpArrow	DarkRed	LightYellow	Hat	Nail	DarkGray	DarkGray	Hat	DarkTurquiose	Hat	Sawblade	LightBlue	LightTurquiose	Lock	Nail
DarkTurquiose	Spade	Nail	DarkRed	Bar	Bar	Dodecagon	UpArrow	DarkRed	LightYellow	Hat	Nail	DarkGray	DarkGray	Hat	DarkTurquiose	Hat	Sawblade	LightBlue	LightTurquiose	Lock	Nail
DarkTurquiose_Choice	Spade_Choice	Nail_Choice	DarkRed_Choice	Bar_Choice	Bar_Choice	Dodecagon_Choice	UpArrow_Choice	DarkRed_Choice	LightYellow_Choice	Hat_Choice	Nail_Choice	DarkGray_Choice	DarkGray_Choice	Hat_Choice	DarkTurquiose_Choice	Hat_Choice	Sawblade_Choice	LightBlue_Choice	LightTurquiose_Choice	Lock_Choice	Nail_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkTurquiose	LightTurquiose	Dodecagon	Hourglass	DarkGreen	Hourglass	Dodecagon	DarkRed	Nail	LightYellow	Lock	Nail	LightGray	LightGray	Lock	DarkTurquiose	Rabbit	Lock	LightBlue	DarkBlue	Spade	LightTurquiose
DarkTurquiose	LightTurquiose	Dodecagon	Hourglass	DarkGreen	Hourglass	Dodecagon	DarkRed	Nail	LightYellow	Lock	Nail	LightGray	LightGray	Lock	DarkTurquiose	Rabbit	Lock	LightBlue	DarkBlue	Spade	LightTurquiose
DarkTurquiose	LightTurquiose	Dodecagon	Hourglass	DarkGreen	Hourglass	Dodecagon	DarkRed	Nail	LightYellow	Lock	Nail	LightGray	LightGray	Lock	DarkTurquiose	Rabbit	Lock	LightBlue	DarkBlue	Spade	LightTurquiose
DarkTurquiose_Choice	LightTurquiose_Choice	Dodecagon_Choice	Hourglass_Choice	DarkGreen_Choice	Hourglass_Choice	Dodecagon_Choice	DarkRed_Choice	Nail_Choice	LightYellow_Choice	Lock_Choice	Nail_Choice	LightGray_Choice	LightGray_Choice	Lock_Choice	DarkTurquiose_Choice	Rabbit_Choice	Lock_Choice	LightBlue_Choice	DarkBlue_Choice	Spade_Choice	LightTurquiose_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Dodecagon	LightGreen	Dodecagon	DarkTurquiose	LightRed	UpArrow	DarkTurquiose	UpArrow	DarkRed	LightGreen	LightGreen	Diamond	Venn	Venn	LightGreen	LightPurple	LightGreen	Sawblade	Nail	LightTurquiose	LightBlue	Dodecagon
Dodecagon	LightGreen	Dodecagon	DarkTurquiose	LightRed	UpArrow	DarkTurquiose	UpArrow	DarkRed	LightGreen	LightGreen	Diamond	Venn	Venn	LightGreen	LightPurple	LightGreen	Sawblade	Nail	LightTurquiose	LightBlue	Dodecagon
Dodecagon	LightGreen	Dodecagon	DarkTurquiose	LightRed	UpArrow	DarkTurquiose	UpArrow	DarkRed	LightGreen	LightGreen	Diamond	Venn	Venn	LightGreen	LightPurple	LightGreen	Sawblade	Nail	LightTurquiose	LightBlue	Dodecagon
Dodecagon_Choice	LightGreen_Choice	Dodecagon_Choice	DarkTurquiose_Choice	LightRed_Choice	UpArrow_Choice	DarkTurquiose_Choice	UpArrow_Choice	DarkRed_Choice	LightGreen_Choice	LightGreen_Choice	Diamond_Choice	Venn_Choice	Venn_Choice	LightGreen_Choice	LightPurple_Choice	LightGreen_Choice	Sawblade_Choice	Nail_Choice	LightTurquiose_Choice	LightBlue_Choice	Dodecagon_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkTurquiose	DarkTurquiose	LightGreen	LightRed	Hourglass	DarkTurquiose	UpArrow	DarkBlue	LightYellow	Lock	DarkGray	Diamond	LightGreen	LightGreen	DarkGray	Lock	Lock	DarkBlue	LightTurquiose	Lock	Spade	DarkBlue
DarkTurquiose	DarkTurquiose	LightGreen	LightRed	Hourglass	DarkTurquiose	UpArrow	DarkBlue	LightYellow	Lock	DarkGray	Diamond	LightGreen	LightGreen	DarkGray	Lock	Lock	DarkBlue	LightTurquiose	Lock	Spade	DarkBlue
DarkTurquiose	DarkTurquiose	LightGreen	LightRed	Hourglass	DarkTurquiose	UpArrow	DarkBlue	LightYellow	Lock	DarkGray	Diamond	LightGreen	LightGreen	DarkGray	Lock	Lock	DarkBlue	LightTurquiose	Lock	Spade	DarkBlue
DarkTurquiose_Choice	DarkTurquiose_Choice	LightGreen_Choice	LightRed_Choice	Hourglass_Choice	DarkTurquiose_Choice	UpArrow_Choice	DarkBlue_Choice	LightYellow_Choice	Lock_Choice	DarkGray_Choice	Diamond_Choice	LightGreen_Choice	LightGreen_Choice	DarkGray_Choice	Lock_Choice	Lock_Choice	DarkBlue_Choice	LightTurquiose_Choice	Lock_Choice	Spade_Choice	DarkBlue_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Spade	Lock	LightGreen	DarkGreen	Hourglass	Bar	DarkGreen	DarkRed	DarkRed	LightGreen	Hat	Lock	Lock	Lock	Hat	LightPurple	Dodecagon	LightGreen	Sawblade	LightTurquiose	DarkBlue	Lock
Spade	Lock	LightGreen	DarkGreen	Hourglass	Bar	DarkGreen	DarkRed	DarkRed	LightGreen	Hat	Lock	Lock	Lock	Hat	LightPurple	Dodecagon	LightGreen	Sawblade	LightTurquiose	DarkBlue	Lock
Spade	Lock	LightGreen	DarkGreen	Hourglass	Bar	DarkGreen	DarkRed	DarkRed	LightGreen	Hat	Lock	Lock	Lock	Hat	LightPurple	Dodecagon	LightGreen	Sawblade	LightTurquiose	DarkBlue	Lock
Spade_Choice	Lock_Choice	LightGreen_Choice	DarkGreen_Choice	Hourglass_Choice	Bar_Choice	DarkGreen_Choice	DarkRed_Choice	DarkRed_Choice	LightGreen_Choice	Hat_Choice	Lock_Choice	Lock_Choice	Lock_Choice	Hat_Choice	LightPurple_Choice	Dodecagon_Choice	LightGreen_Choice	Sawblade_Choice	LightTurquiose_Choice	DarkBlue_Choice	Lock_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Nail	Nail	Dodecagon	DarkRed	Bar	UpArrow	DarkGreen	DarkRed	LightGreen	LightYellow	DarkGray	Lock	Venn	Venn	DarkGray	DarkGray	Rabbit	DarkBlue	LightTurquiose	LightTurquiose	DarkBlue	LightTurquiose
Nail	Nail	Dodecagon	DarkRed	Bar	UpArrow	DarkGreen	DarkRed	LightGreen	LightYellow	DarkGray	Lock	Venn	Venn	DarkGray	DarkGray	Rabbit	DarkBlue	LightTurquiose	LightTurquiose	DarkBlue	LightTurquiose
Nail	Nail	Dodecagon	DarkRed	Bar	UpArrow	DarkGreen	DarkRed	LightGreen	LightYellow	DarkGray	Lock	Venn	Venn	DarkGray	DarkGray	Rabbit	DarkBlue	LightTurquiose	LightTurquiose	DarkBlue	LightTurquiose
Nail_Choice	Nail_Choice	Dodecagon_Choice	DarkRed_Choice	Bar_Choice	UpArrow_Choice	DarkGreen_Choice	DarkRed_Choice	LightGreen_Choice	LightYellow_Choice	DarkGray_Choice	Lock_Choice	Venn_Choice	Venn_Choice	DarkGray_Choice	DarkGray_Choice	Rabbit_Choice	DarkBlue_Choice	LightTurquiose_Choice	LightTurquiose_Choice	DarkBlue_Choice	LightTurquiose_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkBlue	LightGreen	Spade	Bar	Dodecagon	Bar	Hourglass	DarkBlue	UpArrow	UpArrow	Dodecagon	UpArrow	Venn	Venn	Dodecagon	DarkGray	DarkGray	Nail	Nail	LightBlue	Sawblade	DarkTurquiose
DarkBlue	LightGreen	Spade	Bar	Dodecagon	Bar	Hourglass	DarkBlue	UpArrow	UpArrow	Dodecagon	UpArrow	Venn	Venn	Dodecagon	DarkGray	DarkGray	Nail	Nail	LightBlue	Sawblade	DarkTurquiose
DarkBlue	LightGreen	Spade	Bar	Dodecagon	Bar	Hourglass	DarkBlue	UpArrow	UpArrow	Dodecagon	UpArrow	Venn	Venn	Dodecagon	DarkGray	DarkGray	Nail	Nail	LightBlue	Sawblade	DarkTurquiose
DarkBlue_Choice	LightGreen_Choice	Spade_Choice	Bar_Choice	Dodecagon_Choice	Bar_Choice	Hourglass_Choice	DarkBlue_Choice	UpArrow_Choice	UpArrow_Choice	Dodecagon_Choice	UpArrow_Choice	Venn_Choice	Venn_Choice	Dodecagon_Choice	DarkGray_Choice	DarkGray_Choice	Nail_Choice	Nail_Choice	LightBlue_Choice	Sawblade_Choice	DarkTurquiose_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkBlue	Spade	DarkBlue	DarkTurquiose	Hourglass	DarkRed	LightRed	Diamond	Diamond	LightYellow	Dodecagon	LightGreen	Bar	Bar	Dodecagon	Lock	Rabbit	Lock	DarkBlue	Sawblade	Sawblade	Nail
DarkBlue	Spade	DarkBlue	DarkTurquiose	Hourglass	DarkRed	LightRed	Diamond	Diamond	LightYellow	Dodecagon	LightGreen	Bar	Bar	Dodecagon	Lock	Rabbit	Lock	DarkBlue	Sawblade	Sawblade	Nail
DarkBlue	Spade	DarkBlue	DarkTurquiose	Hourglass	DarkRed	LightRed	Diamond	Diamond	LightYellow	Dodecagon	LightGreen	Bar	Bar	Dodecagon	Lock	Rabbit	Lock	DarkBlue	Sawblade	Sawblade	Nail
