13	4	5	6	7	8	9	10	11	12
DarkBlue	DarkGray	Rabbit	LightYellow	DarkGreen	Nail	DarkGreen	LightTurquiose	DarkRed	LightPurple
DarkBlue_Choice	DarkGray_Choice	Rabbit_Choice	LightYellow_Choice	DarkGreen_Choice	Nail_Choice	DarkGreen_Choice	LightTurquiose_Choice	DarkRed_Choice	LightPurple_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
UpArrow	LightTurquiose	Nail	DarkGray	UpArrow	UpArrow	DarkRed	DarkBlue	LightYellow	DarkGray
UpArrow	LightTurquiose	Nail	DarkGray	UpArrow	UpArrow	DarkRed	DarkBlue	LightYellow	DarkGray
UpArrow	LightTurquiose	Nail	DarkGray	UpArrow	UpArrow	DarkRed	DarkBlue	LightYellow	DarkGray
UpArrow_Choice	LightTurquiose_Choice	Nail_Choice	DarkGray_Choice	UpArrow_Choice	UpArrow_Choice	DarkRed_Choice	DarkBlue_Choice	LightYellow_Choice	DarkGray_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightTurquiose	Rabbit	Bar	Diamond	Diamond	LightPurple	LightPurple	DarkBlue	UpArrow	LightPurple
LightTurquiose	Rabbit	Bar	Diamond	Diamond	LightPurple	LightPurple	DarkBlue	UpArrow	LightPurple
LightTurquiose	Rabbit	Bar	Diamond	Diamond	LightPurple	LightPurple	DarkBlue	UpArrow	LightPurple
LightTurquiose_Choice	Rabbit_Choice	Bar_Choice	Diamond_Choice	Diamond_Choice	LightPurple_Choice	LightPurple_Choice	DarkBlue_Choice	UpArrow_Choice	LightPurple_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGray	Rabbit	DarkGreen	LightYellow	UpArrow	LightTurquiose	Rabbit	Hat	DarkBlue	UpArrow
DarkGray	Rabbit	DarkGreen	LightYellow	UpArrow	LightTurquiose	Rabbit	Hat	DarkBlue	UpArrow
DarkGray	Rabbit	DarkGreen	LightYellow	UpArrow	LightTurquiose	Rabbit	Hat	DarkBlue	UpArrow
DarkGray_Choice	Rabbit_Choice	DarkGreen_Choice	LightYellow_Choice	UpArrow_Choice	LightTurquiose_Choice	Rabbit_Choice	Hat_Choice	DarkBlue_Choice	UpArrow_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Bar	Spade	LightPurple	Hat	LightYellow	LightPurple	LightPurple	DarkBlue	LightTurquiose	Hat
Bar	Spade	LightPurple	Hat	LightYellow	LightPurple	LightPurple	DarkBlue	LightTurquiose	Hat
Bar	Spade	LightPurple	Hat	LightYellow	LightPurple	LightPurple	DarkBlue	LightTurquiose	Hat
Bar_Choice	Spade_Choice	LightPurple_Choice	Hat_Choice	LightYellow_Choice	LightPurple_Choice	LightPurple_Choice	DarkBlue_Choice	LightTurquiose_Choice	Hat_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Bar	UpArrow	LightYellow	LightYellow	LightPurple	LightPurple	Bar	Spade	DarkRed	Nail
Bar	UpArrow	LightYellow	LightYellow	LightPurple	LightPurple	Bar	Spade	DarkRed	Nail
Bar	UpArrow	LightYellow	LightYellow	LightPurple	LightPurple	Bar	Spade	DarkRed	Nail
Bar_Choice	UpArrow_Choice	LightYellow_Choice	LightYellow_Choice	LightPurple_Choice	LightPurple_Choice	Bar_Choice	Spade_Choice	DarkRed_Choice	Nail_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
