,roi,identity_mean,identity_std,cross_mean,cross_std
0,lh_ant_face1,0.19444444444444442,0.017533862740211938,0.162890625,0.017113853421998587
1,rh_post_color,0.24869791666666666,0.03357198548483974,0.19739583333333333,0.009974332292815396
2,rh_V4d_both_color,0.25390625,0.02439452343124375,0.18893229166666667,0.015386085766030705
3,rh_mid_face,0.2170138888888889,0.017447700731112657,0.15149739583333333,0.020429745591589384
4,lh_V4v_color,0.2035590277777778,0.01909228945132185,0.16907552083333333,0.018072123954457054
5,rh_post_object,0.21223958333333331,0.023060725397196585,0.16966145833333335,0.01087142117637327
6,rh_mid_color,0.1935763888888889,0.027381615096506082,0.17252604166666666,0.012650327618108794
7,lh_ant_object,0.1970486111111111,0.029037723409162722,0.16835937499999998,0.009609869002658871
8,lh_mid_face,0.1957465277777778,0.026836116852622757,0.15130208333333334,0.011200944358128422
9,rh_antl_color,0.18098958333333331,0.018327076675969976,0.171875,0.021253893127854903
10,rh_V4v_color,0.20138888888888887,0.02290087839977937,0.16998697916666666,0.012423642377326578
11,rh_ant_face1,0.1831597222222222,0.019545712238190457,0.1615234375,0.01011086782458522
12,rh_mid_object,0.2170138888888889,0.023867581744561665,0.14804687500000002,0.020603797366719065
13,lh_ant_face2,0.19053819444444445,0.022598638970390297,0.17220052083333334,0.013286195719262085
14,rh_ant_face2,0.1723090277777778,0.020610607761430148,0.169921875,0.01446836658809247
15,lh_antl_color,0.1779513888888889,0.012489144591960205,0.16881510416666667,0.006742918719199622
16,lh_post_color,0.20920138888888887,0.022418700642612775,0.19114583333333335,0.011718750000000002
17,rh_antm_color,0.17578125,0.015905800522403375,0.18893229166666667,0.012077130007888074
18,lh_antm_color,0.18272569444444445,0.015522182935978882,0.17421874999999998,0.01878432910607344
19,lh_mid_color,0.20182291666666666,0.017399047094468267,0.16595052083333334,0.014534277378416872
20,lh_V4d_both_color,0.2478298611111111,0.014097553618846976,0.19967447916666667,0.01441480350398831
21,rh_ant_object,0.18098958333333334,0.026582208329483614,0.1775390625,0.01341951492436003
22,lh_mid_object,0.19227430555555558,0.01709320196832918,0.17571614583333334,0.012311230623634501
23,lh_post_TEO_face,0.24348958333333337,0.024579158220082935,0.202734375,0.009739548518208721
