14	15	16	17	18	19	20	21	22	23	4	24	25	26	27	28	29	30	5	6	7	8	9	10	12	13
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightGreen	Sawblade	LightTurquiose	Hourglass	Rabbit	Hat	LightRed	DarkGray	DarkGray	UpArrow	DarkGreen	DarkGray	Lock	LightGray	LightGray	Venn	LightPurple	DarkBlue	LightYellow	Diamond	Hat	LightTurquiose	Nail	Spade	Dodecagon	Spade
LightGreen	Sawblade	LightTurquiose	Hourglass	Rabbit	Hat	LightRed	DarkGray	DarkGray	UpArrow	DarkGreen	DarkGray	Lock	LightGray	LightGray	Venn	LightPurple	DarkBlue	LightYellow	Diamond	Hat	LightTurquiose	Nail	Spade	Dodecagon	Spade
LightGreen	Sawblade	LightTurquiose	Hourglass	Rabbit	Hat	LightRed	DarkGray	DarkGray	UpArrow	DarkGreen	DarkGray	Lock	LightGray	LightGray	Venn	LightPurple	DarkBlue	LightYellow	Diamond	Hat	LightTurquiose	Nail	Spade	Dodecagon	Spade
LightGreen_Choice	Sawblade_Choice	LightTurquiose_Choice	Hourglass_Choice	Rabbit_Choice	Hat_Choice	LightRed_Choice	DarkGray_Choice	DarkGray_Choice	UpArrow_Choice	DarkGreen_Choice	DarkGray_Choice	Lock_Choice	LightGray_Choice	LightGray_Choice	Venn_Choice	LightPurple_Choice	DarkBlue_Choice	LightYellow_Choice	Diamond_Choice	Hat_Choice	LightTurquiose_Choice	Nail_Choice	Spade_Choice	Dodecagon_Choice	Spade_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightBlue	Dodecagon	Dodecagon	Hourglass	DarkRed	DarkGray	UpArrow	DarkGray	DarkGray	LightYellow	LightGreen	DarkRed	Diamond	Nail	Nail	LightGray	DarkGreen	Venn	Bar	Diamond	Diamond	Nail	LightTurquiose	Dodecagon	DarkBlue	LightGreen
LightBlue	Dodecagon	Dodecagon	Hourglass	DarkRed	DarkGray	UpArrow	DarkGray	DarkGray	LightYellow	LightGreen	DarkRed	Diamond	Nail	Nail	LightGray	DarkGreen	Venn	Bar	Diamond	Diamond	Nail	LightTurquiose	Dodecagon	DarkBlue	LightGreen
LightBlue	Dodecagon	Dodecagon	Hourglass	DarkRed	DarkGray	UpArrow	DarkGray	DarkGray	LightYellow	LightGreen	DarkRed	Diamond	Nail	Nail	LightGray	DarkGreen	Venn	Bar	Diamond	Diamond	Nail	LightTurquiose	Dodecagon	DarkBlue	LightGreen
LightBlue_Choice	Dodecagon_Choice	Dodecagon_Choice	Hourglass_Choice	DarkRed_Choice	DarkGray_Choice	UpArrow_Choice	DarkGray_Choice	DarkGray_Choice	LightYellow_Choice	LightGreen_Choice	DarkRed_Choice	Diamond_Choice	Nail_Choice	Nail_Choice	LightGray_Choice	DarkGreen_Choice	Venn_Choice	Bar_Choice	Diamond_Choice	Diamond_Choice	Nail_Choice	LightTurquiose_Choice	Dodecagon_Choice	DarkBlue_Choice	LightGreen_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Lock	LightBlue	Sawblade	Hat	UpArrow	DarkGray	LightRed	UpArrow	UpArrow	LightYellow	Lock	Diamond	LightGreen	Venn	Venn	Bar	Nail	Bar	LightYellow	Hat	Bar	Spade	Spade	Dodecagon	LightTurquiose	LightGreen
Lock	LightBlue	Sawblade	Hat	UpArrow	DarkGray	LightRed	UpArrow	UpArrow	LightYellow	Lock	Diamond	LightGreen	Venn	Venn	Bar	Nail	Bar	LightYellow	Hat	Bar	Spade	Spade	Dodecagon	LightTurquiose	LightGreen
Lock	LightBlue	Sawblade	Hat	UpArrow	DarkGray	LightRed	UpArrow	UpArrow	LightYellow	Lock	Diamond	LightGreen	Venn	Venn	Bar	Nail	Bar	LightYellow	Hat	Bar	Spade	Spade	Dodecagon	LightTurquiose	LightGreen
