14	15	16	17	18	19	20	21	22	23	4	24	25	26	27	28	29	30	5	6	7	8	9	10	12	13
Lock_Choice	LightBlue_Choice	Sawblade_Choice	Hat_Choice	UpArrow_Choice	DarkGray_Choice	LightRed_Choice	UpArrow_Choice	UpArrow_Choice	LightYellow_Choice	Lock_Choice	Diamond_Choice	LightGreen_Choice	Venn_Choice	Venn_Choice	Bar_Choice	Nail_Choice	Bar_Choice	LightYellow_Choice	Hat_Choice	Bar_Choice	Spade_Choice	Spade_Choice	Dodecagon_Choice	LightTurquiose_Choice	LightGreen_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkTurquiose	Spade	Lock	LightPurple	DarkRed	LightPurple	Rabbit	DarkGray	DarkGray	Lock	LightGreen	Hat	Hat	Nail	Nail	LightPurple	LightGray	Bar	Lock	Hat	Diamond	Spade	Nail	Spade	Dodecagon	LightTurquiose
DarkTurquiose	Spade	Lock	LightPurple	DarkRed	LightPurple	Rabbit	DarkGray	DarkGray	Lock	LightGreen	Hat	Hat	Nail	Nail	LightPurple	LightGray	Bar	Lock	Hat	Diamond	Spade	Nail	Spade	Dodecagon	LightTurquiose
DarkTurquiose	Spade	Lock	LightPurple	DarkRed	LightPurple	Rabbit	DarkGray	DarkGray	Lock	LightGreen	Hat	Hat	Nail	Nail	LightPurple	LightGray	Bar	Lock	Hat	Diamond	Spade	Nail	Spade	Dodecagon	LightTurquiose
DarkTurquiose_Choice	Spade_Choice	Lock_Choice	LightPurple_Choice	DarkRed_Choice	LightPurple_Choice	Rabbit_Choice	DarkGray_Choice	DarkGray_Choice	Lock_Choice	LightGreen_Choice	Hat_Choice	Hat_Choice	Nail_Choice	Nail_Choice	LightPurple_Choice	LightGray_Choice	Bar_Choice	Lock_Choice	Hat_Choice	Diamond_Choice	Spade_Choice	Nail_Choice	Spade_Choice	Dodecagon_Choice	LightTurquiose_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightGreen	Sawblade	LightBlue	DarkGray	LightPurple	DarkRed	LightPurple	LightYellow	LightYellow	Hat	Bar	DarkGray	Diamond	Rabbit	Rabbit	LightPurple	DarkBlue	Venn	DarkGreen	LightYellow	DarkGreen	LightYellow	Diamond	DarkTurquiose	DarkTurquiose	Spade
LightGreen	Sawblade	LightBlue	DarkGray	LightPurple	DarkRed	LightPurple	LightYellow	LightYellow	Hat	Bar	DarkGray	Diamond	Rabbit	Rabbit	LightPurple	DarkBlue	Venn	DarkGreen	LightYellow	DarkGreen	LightYellow	Diamond	DarkTurquiose	DarkTurquiose	Spade
LightGreen	Sawblade	LightBlue	DarkGray	LightPurple	DarkRed	LightPurple	LightYellow	LightYellow	Hat	Bar	DarkGray	Diamond	Rabbit	Rabbit	LightPurple	DarkBlue	Venn	DarkGreen	LightYellow	DarkGreen	LightYellow	Diamond	DarkTurquiose	DarkTurquiose	Spade
LightGreen_Choice	Sawblade_Choice	LightBlue_Choice	DarkGray_Choice	LightPurple_Choice	DarkRed_Choice	LightPurple_Choice	LightYellow_Choice	LightYellow_Choice	Hat_Choice	Bar_Choice	DarkGray_Choice	Diamond_Choice	Rabbit_Choice	Rabbit_Choice	LightPurple_Choice	DarkBlue_Choice	Venn_Choice	DarkGreen_Choice	LightYellow_Choice	DarkGreen_Choice	LightYellow_Choice	Diamond_Choice	DarkTurquiose_Choice	DarkTurquiose_Choice	Spade_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkTurquiose	Sawblade	Dodecagon	Hourglass	LightRed	DarkGray	Hourglass	DarkRed	DarkRed	UpArrow	Hat	Lock	Lock	Bar	Bar	Venn	DarkBlue	Venn	Bar	DarkGreen	Hat	DarkTurquiose	DarkBlue	DarkTurquiose	LightYellow	DarkTurquiose
DarkTurquiose	Sawblade	Dodecagon	Hourglass	LightRed	DarkGray	Hourglass	DarkRed	DarkRed	UpArrow	Hat	Lock	Lock	Bar	Bar	Venn	DarkBlue	Venn	Bar	DarkGreen	Hat	DarkTurquiose	DarkBlue	DarkTurquiose	LightYellow	DarkTurquiose
DarkTurquiose	Sawblade	Dodecagon	Hourglass	LightRed	DarkGray	Hourglass	DarkRed	DarkRed	UpArrow	Hat	Lock	Lock	Bar	Bar	Venn	DarkBlue	Venn	Bar	DarkGreen	Hat	DarkTurquiose	DarkBlue	DarkTurquiose	LightYellow	DarkTurquiose
DarkTurquiose_Choice	Sawblade_Choice	Dodecagon_Choice	Hourglass_Choice	LightRed_Choice	DarkGray_Choice	Hourglass_Choice	DarkRed_Choice	DarkRed_Choice	UpArrow_Choice	Hat_Choice	Lock_Choice	Lock_Choice	Bar_Choice	Bar_Choice	Venn_Choice	DarkBlue_Choice	Venn_Choice	Bar_Choice	DarkGreen_Choice	Hat_Choice	DarkTurquiose_Choice	DarkBlue_Choice	DarkTurquiose_Choice	LightYellow_Choice	DarkTurquiose_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightBlue	LightTurquiose	LightTurquiose	UpArrow	DarkGray	UpArrow	LightPurple	LightGreen	LightGreen	Lock	Bar	UpArrow	DarkRed	LightGray	LightGray	Rabbit	Nail	DarkGreen	DarkGreen	DarkGreen	LightGreen	Nail	DarkBlue	Spade	Diamond	Spade
LightBlue	LightTurquiose	LightTurquiose	UpArrow	DarkGray	UpArrow	LightPurple	LightGreen	LightGreen	Lock	Bar	UpArrow	DarkRed	LightGray	LightGray	Rabbit	Nail	DarkGreen	DarkGreen	DarkGreen	LightGreen	Nail	DarkBlue	Spade	Diamond	Spade
LightBlue	LightTurquiose	LightTurquiose	UpArrow	DarkGray	UpArrow	LightPurple	LightGreen	LightGreen	Lock	Bar	UpArrow	DarkRed	LightGray	LightGray	Rabbit	Nail	DarkGreen	DarkGreen	DarkGreen	LightGreen	Nail	DarkBlue	Spade	Diamond	Spade
LightBlue_Choice	LightTurquiose_Choice	LightTurquiose_Choice	UpArrow_Choice	DarkGray_Choice	UpArrow_Choice	LightPurple_Choice	LightGreen_Choice	LightGreen_Choice	Lock_Choice	Bar_Choice	UpArrow_Choice	DarkRed_Choice	LightGray_Choice	LightGray_Choice	Rabbit_Choice	Nail_Choice	DarkGreen_Choice	DarkGreen_Choice	DarkGreen_Choice	LightGreen_Choice	Nail_Choice	DarkBlue_Choice	Spade_Choice	Diamond_Choice	Spade_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightBlue	Sawblade	DarkTurquiose	DarkGray	Rabbit	Rabbit	UpArrow	Diamond	Diamond	LightGreen	LightGreen	UpArrow	LightYellow	LightGray	LightGray	Venn	Nail	Bar	LightYellow	Diamond	Diamond	DarkTurquiose	Nail	Diamond	Spade	LightBlue
LightBlue	Sawblade	DarkTurquiose	DarkGray	Rabbit	Rabbit	UpArrow	Diamond	Diamond	LightGreen	LightGreen	UpArrow	LightYellow	LightGray	LightGray	Venn	Nail	Bar	LightYellow	Diamond	Diamond	DarkTurquiose	Nail	Diamond	Spade	LightBlue
LightBlue	Sawblade	DarkTurquiose	DarkGray	Rabbit	Rabbit	UpArrow	Diamond	Diamond	LightGreen	LightGreen	UpArrow	LightYellow	LightGray	LightGray	Venn	Nail	Bar	LightYellow	Diamond	Diamond	DarkTurquiose	Nail	Diamond	Spade	LightBlue
LightBlue_Choice	Sawblade_Choice	DarkTurquiose_Choice	DarkGray_Choice	Rabbit_Choice	Rabbit_Choice	UpArrow_Choice	Diamond_Choice	Diamond_Choice	LightGreen_Choice	LightGreen_Choice	UpArrow_Choice	LightYellow_Choice	LightGray_Choice	LightGray_Choice	Venn_Choice	Nail_Choice	Bar_Choice	LightYellow_Choice	Diamond_Choice	Diamond_Choice	DarkTurquiose_Choice	Nail_Choice	Diamond_Choice	Spade_Choice	LightBlue_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Sawblade	LightGreen	Sawblade	Hat	Hourglass	UpArrow	UpArrow	DarkRed	DarkRed	LightGreen	DarkGray	LightGreen	LightGreen	Rabbit	Rabbit	DarkBlue	LightPurple	DarkBlue	Hat	LightYellow	LightGreen	Dodecagon	Nail	LightTurquiose	LightTurquiose	LightGreen
Sawblade	LightGreen	Sawblade	Hat	Hourglass	UpArrow	UpArrow	DarkRed	DarkRed	LightGreen	DarkGray	LightGreen	LightGreen	Rabbit	Rabbit	DarkBlue	LightPurple	DarkBlue	Hat	LightYellow	LightGreen	Dodecagon	Nail	LightTurquiose	LightTurquiose	LightGreen
Sawblade	LightGreen	Sawblade	Hat	Hourglass	UpArrow	UpArrow	DarkRed	DarkRed	LightGreen	DarkGray	LightGreen	LightGreen	Rabbit	Rabbit	DarkBlue	LightPurple	DarkBlue	Hat	LightYellow	LightGreen	Dodecagon	Nail	LightTurquiose	LightTurquiose	LightGreen
Sawblade_Choice	LightGreen_Choice	Sawblade_Choice	Hat_Choice	Hourglass_Choice	UpArrow_Choice	UpArrow_Choice	DarkRed_Choice	DarkRed_Choice	LightGreen_Choice	DarkGray_Choice	LightGreen_Choice	LightGreen_Choice	Rabbit_Choice	Rabbit_Choice	DarkBlue_Choice	LightPurple_Choice	DarkBlue_Choice	Hat_Choice	LightYellow_Choice	LightGreen_Choice	Dodecagon_Choice	Nail_Choice	LightTurquiose_Choice	LightTurquiose_Choice	LightGreen_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkTurquiose	Spade	LightBlue	Hourglass	DarkGray	Hourglass	Hat	DarkRed	DarkRed	UpArrow	LightGreen	Lock	LightYellow	Nail	Nail	LightGray	Nail	LightPurple	Lock	DarkGray	DarkGreen	Nail	DarkBlue	LightYellow	DarkTurquiose	Dodecagon
DarkTurquiose	Spade	LightBlue	Hourglass	DarkGray	Hourglass	Hat	DarkRed	DarkRed	UpArrow	LightGreen	Lock	LightYellow	Nail	Nail	LightGray	Nail	LightPurple	Lock	DarkGray	DarkGreen	Nail	DarkBlue	LightYellow	DarkTurquiose	Dodecagon
DarkTurquiose	Spade	LightBlue	Hourglass	DarkGray	Hourglass	Hat	DarkRed	DarkRed	UpArrow	LightGreen	Lock	LightYellow	Nail	Nail	LightGray	Nail	LightPurple	Lock	DarkGray	DarkGreen	Nail	DarkBlue	LightYellow	DarkTurquiose	Dodecagon
DarkTurquiose_Choice	Spade_Choice	LightBlue_Choice	Hourglass_Choice	DarkGray_Choice	Hourglass_Choice	Hat_Choice	DarkRed_Choice	DarkRed_Choice	UpArrow_Choice	LightGreen_Choice	Lock_Choice	LightYellow_Choice	Nail_Choice	Nail_Choice	LightGray_Choice	Nail_Choice	LightPurple_Choice	Lock_Choice	DarkGray_Choice	DarkGreen_Choice	Nail_Choice	DarkBlue_Choice	LightYellow_Choice	DarkTurquiose_Choice	Dodecagon_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightTurquiose	Spade	DarkTurquiose	DarkRed	DarkRed	LightRed	LightRed	DarkGray	DarkGray	Diamond	LightGreen	Lock	UpArrow	DarkBlue	DarkBlue	LightPurple	Bar	DarkBlue	Hat	Lock	DarkGray	LightYellow	Spade	LightTurquiose	LightTurquiose	Spade
LightTurquiose	Spade	DarkTurquiose	DarkRed	DarkRed	LightRed	LightRed	DarkGray	DarkGray	Diamond	LightGreen	Lock	UpArrow	DarkBlue	DarkBlue	LightPurple	Bar	DarkBlue	Hat	Lock	DarkGray	LightYellow	Spade	LightTurquiose	LightTurquiose	Spade
LightTurquiose	Spade	DarkTurquiose	DarkRed	DarkRed	LightRed	LightRed	DarkGray	DarkGray	Diamond	LightGreen	Lock	UpArrow	DarkBlue	DarkBlue	LightPurple	Bar	DarkBlue	Hat	Lock	DarkGray	LightYellow	Spade	LightTurquiose	LightTurquiose	Spade
LightTurquiose_Choice	Spade_Choice	DarkTurquiose_Choice	DarkRed_Choice	DarkRed_Choice	LightRed_Choice	LightRed_Choice	DarkGray_Choice	DarkGray_Choice	Diamond_Choice	LightGreen_Choice	Lock_Choice	UpArrow_Choice	DarkBlue_Choice	DarkBlue_Choice	LightPurple_Choice	Bar_Choice	DarkBlue_Choice	Hat_Choice	Lock_Choice	DarkGray_Choice	LightYellow_Choice	Spade_Choice	LightTurquiose_Choice	LightTurquiose_Choice	Spade_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightGreen	Dodecagon	DarkTurquiose	Rabbit	DarkRed	LightPurple	DarkRed	LightGreen	LightGreen	UpArrow	LightYellow	LightYellow	DarkRed	Bar	Bar	LightGray	Rabbit	Rabbit	DarkGreen	Lock	Bar	LightYellow	DarkBlue	DarkBlue	Diamond	Lock
LightGreen	Dodecagon	DarkTurquiose	Rabbit	DarkRed	LightPurple	DarkRed	LightGreen	LightGreen	UpArrow	LightYellow	LightYellow	DarkRed	Bar	Bar	LightGray	Rabbit	Rabbit	DarkGreen	Lock	Bar	LightYellow	DarkBlue	DarkBlue	Diamond	Lock
LightGreen	Dodecagon	DarkTurquiose	Rabbit	DarkRed	LightPurple	DarkRed	LightGreen	LightGreen	UpArrow	LightYellow	LightYellow	DarkRed	Bar	Bar	LightGray	Rabbit	Rabbit	DarkGreen	Lock	Bar	LightYellow	DarkBlue	DarkBlue	Diamond	Lock
LightGreen_Choice	Dodecagon_Choice	DarkTurquiose_Choice	Rabbit_Choice	DarkRed_Choice	LightPurple_Choice	DarkRed_Choice	LightGreen_Choice	LightGreen_Choice	UpArrow_Choice	LightYellow_Choice	LightYellow_Choice	DarkRed_Choice	Bar_Choice	Bar_Choice	LightGray_Choice	Rabbit_Choice	Rabbit_Choice	DarkGreen_Choice	Lock_Choice	Bar_Choice	LightYellow_Choice	DarkBlue_Choice	DarkBlue_Choice	Diamond_Choice	Lock_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Lock	Lock	Dodecagon	Rabbit	Hourglass	LightPurple	Hat	DarkGray	DarkGray	Hat	LightYellow	Hat	Lock	Nail	Nail	Venn	LightPurple	DarkBlue	Lock	Bar	Bar	DarkBlue	Dodecagon	LightYellow	DarkTurquiose	LightTurquiose
Lock	Lock	Dodecagon	Rabbit	Hourglass	LightPurple	Hat	DarkGray	DarkGray	Hat	LightYellow	Hat	Lock	Nail	Nail	Venn	LightPurple	DarkBlue	Lock	Bar	Bar	DarkBlue	Dodecagon	LightYellow	DarkTurquiose	LightTurquiose
Lock	Lock	Dodecagon	Rabbit	Hourglass	LightPurple	Hat	DarkGray	DarkGray	Hat	LightYellow	Hat	Lock	Nail	Nail	Venn	LightPurple	DarkBlue	Lock	Bar	Bar	DarkBlue	Dodecagon	LightYellow	DarkTurquiose	LightTurquiose
Lock_Choice	Lock_Choice	Dodecagon_Choice	Rabbit_Choice	Hourglass_Choice	LightPurple_Choice	Hat_Choice	DarkGray_Choice	DarkGray_Choice	Hat_Choice	LightYellow_Choice	Hat_Choice	Lock_Choice	Nail_Choice	Nail_Choice	Venn_Choice	LightPurple_Choice	DarkBlue_Choice	Lock_Choice	Bar_Choice	Bar_Choice	DarkBlue_Choice	Dodecagon_Choice	LightYellow_Choice	DarkTurquiose_Choice	LightTurquiose_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Lock	Sawblade	Dodecagon	Hat	Rabbit	Hat	Hat	Hat	Hat	LightYellow	LightGreen	LightGreen	DarkGray	DarkGreen	DarkGreen	LightPurple	Rabbit	DarkGreen	LightYellow	Lock	DarkGray	DarkTurquiose	Diamond	Dodecagon	Diamond	LightBlue
Lock	Sawblade	Dodecagon	Hat	Rabbit	Hat	Hat	Hat	Hat	LightYellow	LightGreen	LightGreen	DarkGray	DarkGreen	DarkGreen	LightPurple	Rabbit	DarkGreen	LightYellow	Lock	DarkGray	DarkTurquiose	Diamond	Dodecagon	Diamond	LightBlue
Lock	Sawblade	Dodecagon	Hat	Rabbit	Hat	Hat	Hat	Hat	LightYellow	LightGreen	LightGreen	DarkGray	DarkGreen	DarkGreen	LightPurple	Rabbit	DarkGreen	LightYellow	Lock	DarkGray	DarkTurquiose	Diamond	Dodecagon	Diamond	LightBlue
Lock_Choice	Sawblade_Choice	Dodecagon_Choice	Hat_Choice	Rabbit_Choice	Hat_Choice	Hat_Choice	Hat_Choice	Hat_Choice	LightYellow_Choice	LightGreen_Choice	LightGreen_Choice	DarkGray_Choice	DarkGreen_Choice	DarkGreen_Choice	LightPurple_Choice	Rabbit_Choice	DarkGreen_Choice	LightYellow_Choice	Lock_Choice	DarkGray_Choice	DarkTurquiose_Choice	Diamond_Choice	Dodecagon_Choice	Diamond_Choice	LightBlue_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Dodecagon	Spade	DarkTurquiose	UpArrow	LightRed	Rabbit	DarkRed	Hat	Hat	Diamond	Hat	DarkRed	Diamond	LightGray	LightGray	Bar	Rabbit	DarkGreen	Diamond	DarkGray	Diamond	DarkBlue	Diamond	LightYellow	Dodecagon	LightTurquiose
Dodecagon	Spade	DarkTurquiose	UpArrow	LightRed	Rabbit	DarkRed	Hat	Hat	Diamond	Hat	DarkRed	Diamond	LightGray	LightGray	Bar	Rabbit	DarkGreen	Diamond	DarkGray	Diamond	DarkBlue	Diamond	LightYellow	Dodecagon	LightTurquiose
Dodecagon	Spade	DarkTurquiose	UpArrow	LightRed	Rabbit	DarkRed	Hat	Hat	Diamond	Hat	DarkRed	Diamond	LightGray	LightGray	Bar	Rabbit	DarkGreen	Diamond	DarkGray	Diamond	DarkBlue	Diamond	LightYellow	Dodecagon	LightTurquiose
Dodecagon_Choice	Spade_Choice	DarkTurquiose_Choice	UpArrow_Choice	LightRed_Choice	Rabbit_Choice	DarkRed_Choice	Hat_Choice	Hat_Choice	Diamond_Choice	Hat_Choice	DarkRed_Choice	Diamond_Choice	LightGray_Choice	LightGray_Choice	Bar_Choice	Rabbit_Choice	DarkGreen_Choice	Diamond_Choice	DarkGray_Choice	Diamond_Choice	DarkBlue_Choice	Diamond_Choice	LightYellow_Choice	Dodecagon_Choice	LightTurquiose_Choice
