,roi,identity_mean,identity_std,cross_mean,cross_std
0,sl_lh_ant_color,0.22710027100271005,0.02264292107892066,0.22002032520325204,0.019211188150364905
1,sl_rh_v4d_color,0.25921409214092145,0.017215072535275943,0.2100609756097561,0.015272939823708332
2,sl_rh_post_object,0.24308943089430896,0.007597748384214733,0.23164634146341462,0.016326857627604528
3,sl_rh_mid_object,0.23672086720867208,0.016618123945357156,0.21333333333333332,0.01625182713178091
4,sl_rh_mid_color,0.25325203252032524,0.011376466530380689,0.22601626016260162,0.015522920735070023
5,hef_lh_ant3amm_face,0.2112466124661246,0.01728319650405437,0.2203048780487805,0.025877655746946997
6,hef_lh_postpost_object,0.2399728997289973,0.01579564583274756,0.19855691056910568,0.014210631526568351
7,sl_lh_ant1_face,0.20636856368563686,0.01490576495401558,0.1791869918699187,0.015933766754774953
8,sl_lh_v4d_color,0.25433604336043364,0.01687032683086154,0.20278455284552846,0.016438315204279255
9,sl_lh_mid_color,0.2575880758807588,0.015549629193173129,0.20278455284552846,0.011573967435118048
10,sl_lh_v4v_color,0.2787262872628726,0.0189803495828549,0.19621951219512196,0.017628924174372437
11,sl_lh_ant_obj,0.247289972899729,0.01666446324694965,0.21583333333333332,0.016867579914282806
12,sl_rh_post_face,0.22005420054200547,0.013223710459355937,0.20833333333333331,0.014862157758131088
13,sl_lh_post_face,0.21314363143631437,0.011593881084353512,0.19353658536585366,0.015727242491562
14,sl_lh_post_obj,0.25555555555555554,0.012137775434449154,0.2111991869918699,0.017627576675446368
15,sl_lh_post_color,0.28238482384823843,0.016729890877019683,0.24369918699186993,0.019299955118227675
16,sl_lh_mid_face,0.247289972899729,0.013674899863948754,0.21591463414634146,0.014894935216889706
17,sl_rh_ant2_AM_face,0.21490514905149052,0.010070950772933358,0.20247967479674797,0.013459459475601974
18,sl_rh_ant_object,0.22222222222222218,0.01882444985020299,0.215,0.010594013801616706
19,sl_rh_ant1_face,0.20338753387533876,0.01651171720200039,0.20473577235772358,0.019037035006295507
20,sl_rh_post_color,0.3010840108401084,0.0185671470275996,0.20510162601626014,0.017188549840547712
21,sl_rh_v4v_color,0.2512195121951219,0.016183196343451077,0.18810975609756095,0.014574814797671025
22,sl_lh_ant2_am_face,0.2102981029810298,0.012979869934772953,0.21985772357723574,0.022497539542763793
23,hef_rh_ant_color,0.21883468834688352,0.019193899664446668,0.1958739837398374,0.011378501894967781
24,sl_rh_mid_face,0.2327913279132791,0.017717028865779024,0.23130081300813013,0.012940308460481763
25,sl_lh_mid_obj,0.26165311653116535,0.01935773325183661,0.23888211382113825,0.014827942749379014
