14	15	16	20	21	22	23	24	25	26	5	27	28	29	30	31	32	6	7	8	9	10	11	12	13
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Bar	LightGray	DarkRed	Sawblade	UpArrow	DarkYellow	Puzzle	DarkPurple	DarkPurple	Hourglass	DarkGreen	Nail	Diamond	Diamond	LightYellow	DarkBlue	Dodecagon	DarkGreen	LightYellow	Diamond	Hat	Hat	LightPurple	Bar	Bar
Bar	LightGray	DarkRed	Sawblade	UpArrow	DarkYellow	Puzzle	DarkPurple	DarkPurple	Hourglass	DarkGreen	Nail	Diamond	Diamond	LightYellow	DarkBlue	Dodecagon	DarkGreen	LightYellow	Diamond	Hat	Hat	LightPurple	Bar	Bar
Bar	LightGray	DarkRed	Sawblade	UpArrow	DarkYellow	Puzzle	DarkPurple	DarkPurple	Hourglass	DarkGreen	Nail	Diamond	Diamond	LightYellow	DarkBlue	Dodecagon	DarkGreen	LightYellow	Diamond	Hat	Hat	LightPurple	Bar	Bar
Bar_Choice	LightGray_Choice	DarkRed_Choice	Sawblade_Choice	UpArrow_Choice	DarkYellow_Choice	Puzzle_Choice	DarkPurple_Choice	DarkPurple_Choice	Hourglass_Choice	DarkGreen_Choice	Nail_Choice	Diamond_Choice	Diamond_Choice	LightYellow_Choice	DarkBlue_Choice	Dodecagon_Choice	DarkGreen_Choice	LightYellow_Choice	Diamond_Choice	Hat_Choice	Hat_Choice	LightPurple_Choice	Bar_Choice	Bar_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkTurquiose	Lock	LightBlue	LightGray	LightGray	Puzzle	Spike	LightRed	LightRed	DarkBlue	LightGreen	DarkBlue	Diamond	Diamond	Spade	DarkGreen	LightPurple	LightGreen	Bar	Diamond	Diamond	Diamond	DarkTurquiose	Dodecagon	LightYellow
DarkTurquiose	Lock	LightBlue	LightGray	LightGray	Puzzle	Spike	LightRed	LightRed	DarkBlue	LightGreen	DarkBlue	Diamond	Diamond	Spade	DarkGreen	LightPurple	LightGreen	Bar	Diamond	Diamond	Diamond	DarkTurquiose	Dodecagon	LightYellow
DarkTurquiose	Lock	LightBlue	LightGray	LightGray	Puzzle	Spike	LightRed	LightRed	DarkBlue	LightGreen	DarkBlue	Diamond	Diamond	Spade	DarkGreen	LightPurple	LightGreen	Bar	Diamond	Diamond	Diamond	DarkTurquiose	Dodecagon	LightYellow
DarkTurquiose_Choice	Lock_Choice	LightBlue_Choice	LightGray_Choice	LightGray_Choice	Puzzle_Choice	Spike_Choice	LightRed_Choice	LightRed_Choice	DarkBlue_Choice	LightGreen_Choice	DarkBlue_Choice	Diamond_Choice	Diamond_Choice	Spade_Choice	DarkGreen_Choice	LightPurple_Choice	LightGreen_Choice	Bar_Choice	Diamond_Choice	Diamond_Choice	Diamond_Choice	DarkTurquiose_Choice	Dodecagon_Choice	LightYellow_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Dodecagon	Venn	UpArrow	LightGreen	Venn	Nail	DarkPurple	DarkPurple	DarkPurple	Hourglass	Lock	Nail	DarkBlue	DarkBlue	DarkBlue	DarkBlue	Lock	Lock	LightYellow	Hat	Bar	Bar	LightYellow	LightYellow	Diamond
