13	14	15	4	5	6	7	8	9	10	11	12
LightYellow_Choice	Hat_Choice	Hat_Choice	Hat_Choice	Hat_Choice	Nail_Choice	DarkRed_Choice	LightYellow_Choice	Bar_Choice	Nail_Choice	DarkGreen_Choice	LightYellow_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Bar	DarkRed	DarkGray	Spade	Hat	DarkBlue	Hat	Spade	Diamond	Diamond	DarkGreen	Bar
Bar	DarkRed	DarkGray	Spade	Hat	DarkBlue	Hat	Spade	Diamond	Diamond	DarkGreen	Bar
Bar	DarkRed	DarkGray	Spade	Hat	DarkBlue	Hat	Spade	Diamond	Diamond	DarkGreen	Bar
Bar_Choice	DarkRed_Choice	DarkGray_Choice	Spade_Choice	Hat_Choice	DarkBlue_Choice	Hat_Choice	Spade_Choice	Diamond_Choice	Diamond_Choice	DarkGreen_Choice	Bar_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
UpArrow	DarkGray	DarkBlue	LightPurple	UpArrow	Diamond	Rabbit	Bar	DarkGray	Nail	Rabbit	UpArrow
UpArrow	DarkGray	DarkBlue	LightPurple	UpArrow	Diamond	Rabbit	Bar	DarkGray	Nail	Rabbit	UpArrow
UpArrow	DarkGray	DarkBlue	LightPurple	UpArrow	Diamond	Rabbit	Bar	DarkGray	Nail	Rabbit	UpArrow
UpArrow_Choice	DarkGray_Choice	DarkBlue_Choice	LightPurple_Choice	UpArrow_Choice	Diamond_Choice	Rabbit_Choice	Bar_Choice	DarkGray_Choice	Nail_Choice	Rabbit_Choice	UpArrow_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
UpArrow	Spade	Rabbit	DarkRed	DarkGray	LightPurple	DarkGreen	LightPurple	UpArrow	Rabbit	Bar	UpArrow
UpArrow	Spade	Rabbit	DarkRed	DarkGray	LightPurple	DarkGreen	LightPurple	UpArrow	Rabbit	Bar	UpArrow
UpArrow	Spade	Rabbit	DarkRed	DarkGray	LightPurple	DarkGreen	LightPurple	UpArrow	Rabbit	Bar	UpArrow
UpArrow_Choice	Spade_Choice	Rabbit_Choice	DarkRed_Choice	DarkGray_Choice	LightPurple_Choice	DarkGreen_Choice	LightPurple_Choice	UpArrow_Choice	Rabbit_Choice	Bar_Choice	UpArrow_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkRed	DarkGray	DarkRed	Diamond	Nail	Diamond	DarkGray	DarkBlue	Rabbit	LightYellow	DarkRed	DarkRed
DarkRed	DarkGray	DarkRed	Diamond	Nail	Diamond	DarkGray	DarkBlue	Rabbit	LightYellow	DarkRed	DarkRed
DarkRed	DarkGray	DarkRed	Diamond	Nail	Diamond	DarkGray	DarkBlue	Rabbit	LightYellow	DarkRed	DarkRed
