,roi,identity_mean,identity_std,cross_mean,cross_std
0,sl_lh_ant_color,0.2092592592592593,0.01848086449649266,0.2074829931972789,0.010589927256784804
1,sl_rh_v4d_color,0.24652777777777782,0.02027280930167714,0.2071598639455782,0.018021345792151693
2,sl_rh_post_object,0.2466435185185185,0.015288734146548594,0.22149659863945578,0.010838604960507358
3,sl_rh_mid_object,0.22337962962962962,0.015699837923901082,0.19253401360544217,0.013130628474569106
4,sl_rh_mid_color,0.2446759259259259,0.015752650723008407,0.21661564625850338,0.01344894045118677
5,sl_lh_ant1_face,0.2105324074074074,0.013679458814219645,0.1765646258503401,0.024356069132106636
6,sl_lh_v4d_color,0.23587962962962963,0.019400302629404596,0.19401360544217688,0.013223551938973663
7,sl_lh_mid_color,0.26527777777777783,0.01142027442920742,0.2068537414965986,0.01278704616705417
8,sl_lh_v4v_color,0.272337962962963,0.024322359711329365,0.18239795918367346,0.018141125452685754
9,sl_lh_ant_obj,0.23506944444444441,0.019562924419198567,0.20756802721088435,0.011360302351900062
10,sl_rh_post_face,0.21238425925925924,0.0074155409627969186,0.2062074829931973,0.01516607319048841
11,sl_lh_post_face,0.21168981481481483,0.010550198648816641,0.1771938775510204,0.010064651139234347
12,sl_lh_post_obj,0.22037037037037038,0.00841332492841956,0.19382653061224492,0.01913473911530256
13,sl_lh_post_color,0.2821759259259259,0.012697766807317108,0.250969387755102,0.014107253057513675
14,sl_lh_mid_face,0.24699074074074073,0.015092521585836141,0.21433673469387754,0.01655418974495272
15,sl_rh_ant2_AM_face,0.22442129629629629,0.012986193635441227,0.229234693877551,0.010217239249405255
16,sl_rh_ant_object,0.22523148148148148,0.014224343977534458,0.20430272108843534,0.015079587785851379
17,sl_rh_ant1_face,0.2136574074074074,0.015521346865037236,0.21894557823129251,0.01510127472470086
18,sl_rh_post_color,0.2828703703703703,0.010958148498652436,0.19316326530612246,0.01587779730381596
19,sl_rh_v4v_color,0.23912037037037037,0.01825037346706206,0.16955782312925172,0.0076798473036172234
20,sl_lh_ant2_am_face,0.21736111111111112,0.010655693783781396,0.2233673469387755,0.011993160622105497
21,sl_rh_mid_face,0.23506944444444447,0.007086698849463723,0.2132823129251701,0.017560617069951115
22,sl_lh_mid_obj,0.24050925925925926,0.02151532893745048,0.2207312925170068,0.01572029400407119
