,roi,identity_mean,identity_std,cross_mean,cross_std
0,mid_object,0.28657407407407404,0.01368680138805045,0.22085884353741495,0.01423808416701176
1,ant_object,0.2509837962962963,0.014636857062300241,0.21053571428571433,0.01632072556591235
2,lh_post_face,0.24184027777777778,0.012864805909755462,0.22674319727891162,0.021497155322487145
3,V4v_color,0.37731481481481477,0.017682215670803438,0.25650510204081634,0.02096842049675076
4,mid_face,0.24241898148148144,0.010810922480606694,0.18316326530612245,0.016394328476675095
5,ant_color,0.23680555555555557,0.009630853732738295,0.22098639455782315,0.013011749052368913
6,V4d_color,0.3647569444444445,0.021887779801091214,0.24820578231292517,0.020126419357234752
7,mid_color,0.2754050925925926,0.016184988365137303,0.21581632653061225,0.014064533309996706
8,post_color,0.3484375,0.015043959042115102,0.20989795918367346,0.014309342300066906
9,ant_face,0.24033564814814817,0.013469134454282161,0.21640306122448977,0.015035348214686549
10,post_object,0.29953703703703705,0.018956764621029597,0.24854591836734694,0.01485673199000172
