14	15	16	17	18	19	20	21	5	6	7	8	9	10	11	12	13
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightYellow	LightGray	Dodecagon	LightTurquiose	Spade	Rabbit	Sawblade	LightYellow	Hat	Bar	DarkGreen	Hat	Spade	DarkYellow	LightTurquiose	Lock	Spade
LightYellow	LightGray	Dodecagon	LightTurquiose	Spade	Rabbit	Sawblade	LightYellow	Hat	Bar	DarkGreen	Hat	Spade	DarkYellow	LightTurquiose	Lock	Spade
LightYellow	LightGray	Dodecagon	LightTurquiose	Spade	Rabbit	Sawblade	LightYellow	Hat	Bar	DarkGreen	Hat	Spade	DarkYellow	LightTurquiose	Lock	Spade
LightYellow_Choice	LightGray_Choice	Dodecagon_Choice	LightTurquiose_Choice	Spade_Choice	Rabbit_Choice	Sawblade_Choice	LightYellow_Choice	Hat_Choice	Bar_Choice	DarkGreen_Choice	Hat_Choice	Spade_Choice	DarkYellow_Choice	LightTurquiose_Choice	Lock_Choice	Spade_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightYellow	LightGray	DarkTurquiose	LightTurquiose	LightRed	LightBlue	Spade	DarkPurple	Bar	DarkGreen	DarkGreen	LightGreen	Hourglass	LightGreen	Spade	LightGreen	LightYellow
LightYellow	LightGray	DarkTurquiose	LightTurquiose	LightRed	LightBlue	Spade	DarkPurple	Bar	DarkGreen	DarkGreen	LightGreen	Hourglass	LightGreen	Spade	LightGreen	LightYellow
LightYellow	LightGray	DarkTurquiose	LightTurquiose	LightRed	LightBlue	Spade	DarkPurple	Bar	DarkGreen	DarkGreen	LightGreen	Hourglass	LightGreen	Spade	LightGreen	LightYellow
LightYellow_Choice	LightGray_Choice	DarkTurquiose_Choice	LightTurquiose_Choice	LightRed_Choice	LightBlue_Choice	Spade_Choice	DarkPurple_Choice	Bar_Choice	DarkGreen_Choice	DarkGreen_Choice	LightGreen_Choice	Hourglass_Choice	LightGreen_Choice	Spade_Choice	LightGreen_Choice	LightYellow_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Venn	DarkTurquiose	Diamond	LightPurple	LightBlue	LightPurple	LightPurple	Diamond	LightGreen	LightYellow	Diamond	Diamond	LightTurquiose	LightGreen	Spike	LightRed	LightTurquiose
Venn	DarkTurquiose	Diamond	LightPurple	LightBlue	LightPurple	LightPurple	Diamond	LightGreen	LightYellow	Diamond	Diamond	LightTurquiose	LightGreen	Spike	LightRed	LightTurquiose
Venn	DarkTurquiose	Diamond	LightPurple	LightBlue	LightPurple	LightPurple	Diamond	LightGreen	LightYellow	Diamond	Diamond	LightTurquiose	LightGreen	Spike	LightRed	LightTurquiose
Venn_Choice	DarkTurquiose_Choice	Diamond_Choice	LightPurple_Choice	LightBlue_Choice	LightPurple_Choice	LightPurple_Choice	Diamond_Choice	LightGreen_Choice	LightYellow_Choice	Diamond_Choice	Diamond_Choice	LightTurquiose_Choice	LightGreen_Choice	Spike_Choice	LightRed_Choice	LightTurquiose_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkTurquiose	LightTurquiose	DarkTurquiose	LightTurquiose	LightBlue	LightPurple	LightBlue	Bar	DarkGray	Hat	LightYellow	LightGreen	Spike	Hourglass	LightRed	Hourglass	Dodecagon
