13	14	15	16	17	18	19	20	21	22	4	23	24	25	26	27	28	29	30	31	32	5	33	34	35	36	37	38	6	7	8	9	10	11	12
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
UpArrow	DarkGray	DarkBlue	LightTurquiose	Bar	UpArrow	LightPurple	DarkBlue	DarkRed	DarkRed	LightPurple	LightYellow	Rabbit	DarkGreen	LightTurquiose	Diamond	UpArrow	LightTurquiose	DarkBlue	LightTurquiose	Nail	UpArrow	DarkGray	DarkBlue	Hat	DarkBlue	DarkGreen	DarkGreen	Diamond	Rabbit	Bar	DarkGray	Nail	Rabbit	Rabbit
UpArrow	DarkGray	DarkBlue	LightTurquiose	Bar	UpArrow	LightPurple	DarkBlue	DarkRed	DarkRed	LightPurple	LightYellow	Rabbit	DarkGreen	LightTurquiose	Diamond	UpArrow	LightTurquiose	DarkBlue	LightTurquiose	Nail	UpArrow	DarkGray	DarkBlue	Hat	DarkBlue	DarkGreen	DarkGreen	Diamond	Rabbit	Bar	DarkGray	Nail	Rabbit	Rabbit
UpArrow	DarkGray	DarkBlue	LightTurquiose	Bar	UpArrow	LightPurple	DarkBlue	DarkRed	DarkRed	LightPurple	LightYellow	Rabbit	DarkGreen	LightTurquiose	Diamond	UpArrow	LightTurquiose	DarkBlue	LightTurquiose	Nail	UpArrow	DarkGray	DarkBlue	Hat	DarkBlue	DarkGreen	DarkGreen	Diamond	Rabbit	Bar	DarkGray	Nail	Rabbit	Rabbit
UpArrow_Choice	DarkGray_Choice	DarkBlue_Choice	LightTurquiose_Choice	Bar_Choice	UpArrow_Choice	LightPurple_Choice	DarkBlue_Choice	DarkRed_Choice	DarkRed_Choice	LightPurple_Choice	LightYellow_Choice	Rabbit_Choice	DarkGreen_Choice	LightTurquiose_Choice	Diamond_Choice	UpArrow_Choice	LightTurquiose_Choice	DarkBlue_Choice	LightTurquiose_Choice	Nail_Choice	UpArrow_Choice	DarkGray_Choice	DarkBlue_Choice	Hat_Choice	DarkBlue_Choice	DarkGreen_Choice	DarkGreen_Choice	Diamond_Choice	Rabbit_Choice	Bar_Choice	DarkGray_Choice	Nail_Choice	Rabbit_Choice	Rabbit_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
UpArrow	Spade	Rabbit	DarkGreen	Rabbit	Spade	DarkBlue	Rabbit	LightYellow	LightTurquiose	DarkRed	LightYellow	DarkGreen	Nail	DarkBlue	Rabbit	LightPurple	DarkRed	Bar	Bar	Diamond	DarkGray	Bar	LightYellow	DarkGreen	LightPurple	LightTurquiose	LightYellow	LightPurple	DarkGreen	LightPurple	UpArrow	Rabbit	Bar	Bar
UpArrow	Spade	Rabbit	DarkGreen	Rabbit	Spade	DarkBlue	Rabbit	LightYellow	LightTurquiose	DarkRed	LightYellow	DarkGreen	Nail	DarkBlue	Rabbit	LightPurple	DarkRed	Bar	Bar	Diamond	DarkGray	Bar	LightYellow	DarkGreen	LightPurple	LightTurquiose	LightYellow	LightPurple	DarkGreen	LightPurple	UpArrow	Rabbit	Bar	Bar
UpArrow	Spade	Rabbit	DarkGreen	Rabbit	Spade	DarkBlue	Rabbit	LightYellow	LightTurquiose	DarkRed	LightYellow	DarkGreen	Nail	DarkBlue	Rabbit	LightPurple	DarkRed	Bar	Bar	Diamond	DarkGray	Bar	LightYellow	DarkGreen	LightPurple	LightTurquiose	LightYellow	LightPurple	DarkGreen	LightPurple	UpArrow	Rabbit	Bar	Bar
UpArrow_Choice	Spade_Choice	Rabbit_Choice	DarkGreen_Choice	Rabbit_Choice	Spade_Choice	DarkBlue_Choice	Rabbit_Choice	LightYellow_Choice	LightTurquiose_Choice	DarkRed_Choice	LightYellow_Choice	DarkGreen_Choice	Nail_Choice	DarkBlue_Choice	Rabbit_Choice	LightPurple_Choice	DarkRed_Choice	Bar_Choice	Bar_Choice	Diamond_Choice	DarkGray_Choice	Bar_Choice	LightYellow_Choice	DarkGreen_Choice	LightPurple_Choice	LightTurquiose_Choice	LightYellow_Choice	LightPurple_Choice	DarkGreen_Choice	LightPurple_Choice	UpArrow_Choice	Rabbit_Choice	Bar_Choice	Bar_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkRed	DarkGray	DarkRed	Nail	DarkGray	DarkRed	Spade	DarkRed	Hat	UpArrow	Diamond	DarkBlue	DarkGray	Spade	DarkGreen	Spade	Bar	UpArrow	UpArrow	Hat	Hat	Nail	Nail	LightYellow	Spade	UpArrow	Bar	Hat	Diamond	DarkGray	DarkBlue	Rabbit	LightYellow	DarkRed	DarkRed
DarkRed	DarkGray	DarkRed	Nail	DarkGray	DarkRed	Spade	DarkRed	Hat	UpArrow	Diamond	DarkBlue	DarkGray	Spade	DarkGreen	Spade	Bar	UpArrow	UpArrow	Hat	Hat	Nail	Nail	LightYellow	Spade	UpArrow	Bar	Hat	Diamond	DarkGray	DarkBlue	Rabbit	LightYellow	DarkRed	DarkRed
DarkRed	DarkGray	DarkRed	Nail	DarkGray	DarkRed	Spade	DarkRed	Hat	UpArrow	Diamond	DarkBlue	DarkGray	Spade	DarkGreen	Spade	Bar	UpArrow	UpArrow	Hat	Hat	Nail	Nail	LightYellow	Spade	UpArrow	Bar	Hat	Diamond	DarkGray	DarkBlue	Rabbit	LightYellow	DarkRed	DarkRed
DarkRed_Choice	DarkGray_Choice	DarkRed_Choice	Nail_Choice	DarkGray_Choice	DarkRed_Choice	Spade_Choice	DarkRed_Choice	Hat_Choice	UpArrow_Choice	Diamond_Choice	DarkBlue_Choice	DarkGray_Choice	Spade_Choice	DarkGreen_Choice	Spade_Choice	Bar_Choice	UpArrow_Choice	UpArrow_Choice	Hat_Choice	Hat_Choice	Nail_Choice	Nail_Choice	LightYellow_Choice	Spade_Choice	UpArrow_Choice	Bar_Choice	Hat_Choice	Diamond_Choice	DarkGray_Choice	DarkBlue_Choice	Rabbit_Choice	LightYellow_Choice	DarkRed_Choice	DarkRed_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Nail	LightYellow	Rabbit	DarkGreen	Rabbit	Spade	LightPurple	DarkGreen	Hat	UpArrow	DarkBlue	Hat	DarkRed	UpArrow	LightPurple	Spade	LightYellow	Nail	DarkRed	DarkBlue	LightTurquiose	LightYellow	Spade	UpArrow	Rabbit	LightTurquiose	LightYellow	DarkGray	Spade	DarkGray	LightPurple	Diamond	Diamond	DarkBlue	DarkBlue
Nail	LightYellow	Rabbit	DarkGreen	Rabbit	Spade	LightPurple	DarkGreen	Hat	UpArrow	DarkBlue	Hat	DarkRed	UpArrow	LightPurple	Spade	LightYellow	Nail	DarkRed	DarkBlue	LightTurquiose	LightYellow	Spade	UpArrow	Rabbit	LightTurquiose	LightYellow	DarkGray	Spade	DarkGray	LightPurple	Diamond	Diamond	DarkBlue	DarkBlue
Nail	LightYellow	Rabbit	DarkGreen	Rabbit	Spade	LightPurple	DarkGreen	Hat	UpArrow	DarkBlue	Hat	DarkRed	UpArrow	LightPurple	Spade	LightYellow	Nail	DarkRed	DarkBlue	LightTurquiose	LightYellow	Spade	UpArrow	Rabbit	LightTurquiose	LightYellow	DarkGray	Spade	DarkGray	LightPurple	Diamond	Diamond	DarkBlue	DarkBlue
Nail_Choice	LightYellow_Choice	Rabbit_Choice	DarkGreen_Choice	Rabbit_Choice	Spade_Choice	LightPurple_Choice	DarkGreen_Choice	Hat_Choice	UpArrow_Choice	DarkBlue_Choice	Hat_Choice	DarkRed_Choice	UpArrow_Choice	LightPurple_Choice	Spade_Choice	LightYellow_Choice	Nail_Choice	DarkRed_Choice	DarkBlue_Choice	LightTurquiose_Choice	LightYellow_Choice	Spade_Choice	UpArrow_Choice	Rabbit_Choice	LightTurquiose_Choice	LightYellow_Choice	DarkGray_Choice	Spade_Choice	DarkGray_Choice	LightPurple_Choice	Diamond_Choice	Diamond_Choice	DarkBlue_Choice	DarkBlue_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightPurple	DarkBlue	DarkBlue	LightYellow	LightTurquiose	Diamond	Rabbit	Hat	DarkGray	Bar	DarkGray	LightTurquiose	Rabbit	Hat	DarkGreen	LightYellow	LightTurquiose	LightTurquiose	LightPurple	LightYellow	Nail	Rabbit	Nail	LightYellow	DarkGray	LightTurquiose	Diamond	Hat	LightYellow	DarkGreen	Nail	DarkGreen	LightTurquiose	DarkRed	DarkRed
LightPurple	DarkBlue	DarkBlue	LightYellow	LightTurquiose	Diamond	Rabbit	Hat	DarkGray	Bar	DarkGray	LightTurquiose	Rabbit	Hat	DarkGreen	LightYellow	LightTurquiose	LightTurquiose	LightPurple	LightYellow	Nail	Rabbit	Nail	LightYellow	DarkGray	LightTurquiose	Diamond	Hat	LightYellow	DarkGreen	Nail	DarkGreen	LightTurquiose	DarkRed	DarkRed
LightPurple	DarkBlue	DarkBlue	LightYellow	LightTurquiose	Diamond	Rabbit	Hat	DarkGray	Bar	DarkGray	LightTurquiose	Rabbit	Hat	DarkGreen	LightYellow	LightTurquiose	LightTurquiose	LightPurple	LightYellow	Nail	Rabbit	Nail	LightYellow	DarkGray	LightTurquiose	Diamond	Hat	LightYellow	DarkGreen	Nail	DarkGreen	LightTurquiose	DarkRed	DarkRed
