13	14	15	16	17	18	19	20	21	4	5	6	7	8	9	10	11	12
DarkGreen_Choice	Rabbit_Choice	Rabbit_Choice	Rabbit_Choice	UpArrow_Choice	UpArrow_Choice	DarkRed_Choice	DarkGray_Choice	Hat_Choice	Bar_Choice	Diamond_Choice	DarkGreen_Choice	LightTurquiose_Choice	Diamond_Choice	LightPurple_Choice	Rabbit_Choice	Nail_Choice	DarkGreen_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Rabbit	UpArrow	DarkRed	DarkRed	UpArrow	UpArrow	LightYellow	DarkGreen	Bar	LightTurquiose	Nail	Bar	DarkGreen	DarkGray	DarkBlue	DarkGreen	DarkGray	Rabbit
Rabbit	UpArrow	DarkRed	DarkRed	UpArrow	UpArrow	LightYellow	DarkGreen	Bar	LightTurquiose	Nail	Bar	DarkGreen	DarkGray	DarkBlue	DarkGreen	DarkGray	Rabbit
Rabbit	UpArrow	DarkRed	DarkRed	UpArrow	UpArrow	LightYellow	DarkGreen	Bar	LightTurquiose	Nail	Bar	DarkGreen	DarkGray	DarkBlue	DarkGreen	DarkGray	Rabbit
Rabbit_Choice	UpArrow_Choice	DarkRed_Choice	DarkRed_Choice	UpArrow_Choice	UpArrow_Choice	LightYellow_Choice	DarkGreen_Choice	Bar_Choice	LightTurquiose_Choice	Nail_Choice	Bar_Choice	DarkGreen_Choice	DarkGray_Choice	DarkBlue_Choice	DarkGreen_Choice	DarkGray_Choice	Rabbit_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGray	Bar	Rabbit	Rabbit	DarkGreen	DarkGreen	LightYellow	DarkGray	DarkGreen	Spade	LightTurquiose	Diamond	DarkGreen	LightYellow	Rabbit	DarkGray	DarkBlue	DarkGray
DarkGray	Bar	Rabbit	Rabbit	DarkGreen	DarkGreen	LightYellow	DarkGray	DarkGreen	Spade	LightTurquiose	Diamond	DarkGreen	LightYellow	Rabbit	DarkGray	DarkBlue	DarkGray
DarkGray	Bar	Rabbit	Rabbit	DarkGreen	DarkGreen	LightYellow	DarkGray	DarkGreen	Spade	LightTurquiose	Diamond	DarkGreen	LightYellow	Rabbit	DarkGray	DarkBlue	DarkGray
DarkGray_Choice	Bar_Choice	Rabbit_Choice	Rabbit_Choice	DarkGreen_Choice	DarkGreen_Choice	LightYellow_Choice	DarkGray_Choice	DarkGreen_Choice	Spade_Choice	LightTurquiose_Choice	Diamond_Choice	DarkGreen_Choice	LightYellow_Choice	Rabbit_Choice	DarkGray_Choice	DarkBlue_Choice	DarkGray_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Bar	Diamond	DarkGreen	DarkGreen	Diamond	Diamond	Bar	UpArrow	DarkGreen	DarkGreen	Nail	Diamond	LightYellow	Bar	Nail	Rabbit	DarkGreen	Bar
Bar	Diamond	DarkGreen	DarkGreen	Diamond	Diamond	Bar	UpArrow	DarkGreen	DarkGreen	Nail	Diamond	LightYellow	Bar	Nail	Rabbit	DarkGreen	Bar
Bar	Diamond	DarkGreen	DarkGreen	Diamond	Diamond	Bar	UpArrow	DarkGreen	DarkGreen	Nail	Diamond	LightYellow	Bar	Nail	Rabbit	DarkGreen	Bar
Bar_Choice	Diamond_Choice	DarkGreen_Choice	DarkGreen_Choice	Diamond_Choice	Diamond_Choice	Bar_Choice	UpArrow_Choice	DarkGreen_Choice	DarkGreen_Choice	Nail_Choice	Diamond_Choice	LightYellow_Choice	Bar_Choice	Nail_Choice	Rabbit_Choice	DarkGreen_Choice	Bar_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Hat	Bar	LightPurple	LightPurple	DarkGreen	DarkGreen	Bar	DarkGreen	Rabbit	Diamond	DarkGreen	Bar	Diamond	DarkBlue	Bar	DarkBlue	Bar	Hat
Hat	Bar	LightPurple	LightPurple	DarkGreen	DarkGreen	Bar	DarkGreen	Rabbit	Diamond	DarkGreen	Bar	Diamond	DarkBlue	Bar	DarkBlue	Bar	Hat
Hat	Bar	LightPurple	LightPurple	DarkGreen	DarkGreen	Bar	DarkGreen	Rabbit	Diamond	DarkGreen	Bar	Diamond	DarkBlue	Bar	DarkBlue	Bar	Hat
Hat_Choice	Bar_Choice	LightPurple_Choice	LightPurple_Choice	DarkGreen_Choice	DarkGreen_Choice	Bar_Choice	DarkGreen_Choice	Rabbit_Choice	Diamond_Choice	DarkGreen_Choice	Bar_Choice	Diamond_Choice	DarkBlue_Choice	Bar_Choice	DarkBlue_Choice	Bar_Choice	Hat_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightPurple	LightPurple	Bar	Bar	LightYellow	LightYellow	DarkRed	Hat	LightPurple	DarkBlue	DarkBlue	DarkGreen	LightYellow	LightYellow	DarkBlue	Hat	DarkGray	LightPurple
LightPurple	LightPurple	Bar	Bar	LightYellow	LightYellow	DarkRed	Hat	LightPurple	DarkBlue	DarkBlue	DarkGreen	LightYellow	LightYellow	DarkBlue	Hat	DarkGray	LightPurple
LightPurple	LightPurple	Bar	Bar	LightYellow	LightYellow	DarkRed	Hat	LightPurple	DarkBlue	DarkBlue	DarkGreen	LightYellow	LightYellow	DarkBlue	Hat	DarkGray	LightPurple
