18	19	20	21	22	23	24	25	26	27	4	28	29	30	31	32	33	34	35	36	37	10	38	39	11	12	13	14	15	16	17
Dodecagon_Choice	LightRed_Choice	Bar_Choice	DarkGreen_Choice	UpArrow_Choice	DarkRed_Choice	Hat_Choice	DarkGray_Choice	LightRed_Choice	Venn_Choice	LightGreen_Choice	Nail_Choice	Nail_Choice	Spade_Choice	Spade_Choice	DarkRed_Choice	DarkTurquiose_Choice	UpArrow_Choice	DarkGray_Choice	UpArrow_Choice	LightBlue_Choice	LightGreen_Choice	Sawblade_Choice	Sawblade_Choice	Bar_Choice	Diamond_Choice	Diamond_Choice	DarkPurple_Choice	DarkTurquiose_Choice	DarkPurple_Choice	Rabbit_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Dodecagon	LightBlue	Dodecagon	LightBlue	DarkRed	DarkYellow	Venn	DarkYellow	LightGray	Venn	Lock	LightGray	LightGray	LightTurquiose	LightTurquiose	LightGray	LightTurquiose	Spade	DarkPurple	Sawblade	DarkPurple	Lock	DarkRed	DarkRed	LightYellow	Hat	Bar	DarkTurquiose	LightGreen	Dodecagon	LightGreen
Dodecagon	LightBlue	Dodecagon	LightBlue	DarkRed	DarkYellow	Venn	DarkYellow	LightGray	Venn	Lock	LightGray	LightGray	LightTurquiose	LightTurquiose	LightGray	LightTurquiose	Spade	DarkPurple	Sawblade	DarkPurple	Lock	DarkRed	DarkRed	LightYellow	Hat	Bar	DarkTurquiose	LightGreen	Dodecagon	LightGreen
Dodecagon	LightBlue	Dodecagon	LightBlue	DarkRed	DarkYellow	Venn	DarkYellow	LightGray	Venn	Lock	LightGray	LightGray	LightTurquiose	LightTurquiose	LightGray	LightTurquiose	Spade	DarkPurple	Sawblade	DarkPurple	Lock	DarkRed	DarkRed	LightYellow	Hat	Bar	DarkTurquiose	LightGreen	Dodecagon	LightGreen
Dodecagon_Choice	LightBlue_Choice	Dodecagon_Choice	LightBlue_Choice	DarkRed_Choice	DarkYellow_Choice	Venn_Choice	DarkYellow_Choice	LightGray_Choice	Venn_Choice	Lock_Choice	LightGray_Choice	LightGray_Choice	LightTurquiose_Choice	LightTurquiose_Choice	LightGray_Choice	LightTurquiose_Choice	Spade_Choice	DarkPurple_Choice	Sawblade_Choice	DarkPurple_Choice	Lock_Choice	DarkRed_Choice	DarkRed_Choice	LightYellow_Choice	Hat_Choice	Bar_Choice	DarkTurquiose_Choice	LightGreen_Choice	Dodecagon_Choice	LightGreen_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightBlue	Sawblade	DarkGreen	LightRed	Venn	LightGray	Spike	UpArrow	Spade	LightTurquiose	LightGreen	LightTurquiose	LightTurquiose	LightGray	DarkTurquiose	DarkRed	LightTurquiose	DarkRed	LightBlue	Sawblade	Sawblade	LightGreen	UpArrow	UpArrow	Lock	Hat	Diamond	Dodecagon	Puzzle	Rabbit	Rabbit
