,roi,identity_mean,identity_std,cross_mean,cross_std
0,mid_object,0.26736111111111105,0.016425401365376655,0.1810590277777778,0.01373810293038204
1,ant_object,0.19305555555555556,0.018754286204193605,0.1742534722222222,0.01440669939846981
2,antl_color,0.19062500000000002,0.014608572368982808,0.16534722222222223,0.007518463641242894
3,V4v_color,0.2655092592592593,0.022705253783710848,0.16741319444444444,0.012104704022463768
4,mid_face,0.2603009259259259,0.02444815970293229,0.18369791666666668,0.010974900231379536
5,ant_face1,0.1857638888888889,0.015194692004889631,0.16999999999999998,0.014805842190262698
6,mid_color,0.23356481481481478,0.017943921274336572,0.17885416666666668,0.012648567341285614
7,antm_color,0.21006944444444442,0.013731262173269296,0.17411458333333335,0.01519646726010687
8,post_color,0.3412037037037037,0.020786985482077445,0.17184027777777777,0.013046456270540897
9,ant_face2,0.20254629629629634,0.01621196879156771,0.1691666666666667,0.012646994500963755
10,post_object,0.2524305555555556,0.024709767201748563,0.17859375000000002,0.010087552563656711
11,post_face,0.28055555555555556,0.023155091551238304,0.18402777777777776,0.008287635117048369
12,V4d_both_color,0.3333333333333333,0.028660735461631937,0.18131944444444448,0.009572633922596715
