,roi,identity_mean,identity_std,cross_mean,cross_std
0,mid_object,0.24849537037037034,0.01276877954101637,0.17046875,0.009925622196305692
1,ant_object,0.2011574074074074,0.018646835530691047,0.1748090277777778,0.012066896447417003
2,antl_color,0.1980324074074074,0.019580035949523598,0.15906249999999997,0.012925764045402015
3,V4v_color,0.2229166666666667,0.017961829383857725,0.16651041666666663,0.011144954426232914
4,mid_face,0.24872685185185187,0.01858314821642837,0.17772569444444444,0.011954874221440516
5,ant_face1,0.1880787037037037,0.021251903711224696,0.16164930555555554,0.014152649570758302
6,mid_color,0.22060185185185185,0.0162713534914722,0.18623263888888889,0.014038806772035926
7,antm_color,0.20162037037037037,0.02045568204640313,0.17322916666666663,0.012660476450989092
8,post_color,0.2641203703703704,0.026290223281517484,0.18977430555555558,0.011608067845299677
9,ant_face2,0.20150462962962962,0.024936422501655488,0.1736284722222222,0.009619042643892937
10,post_object,0.22743055555555558,0.021239293175350196,0.18230902777777774,0.012818321001543497
11,post_face,0.2728009259259259,0.02193920618445698,0.1848090277777778,0.01650305800494746
12,V4d_both_color,0.29444444444444445,0.026500333227710518,0.19159722222222222,0.014084387972783953
