13	14	15	16	17	18	19	20	4	5	6	7	8	9	10	11	12
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Nail	Bar	DarkGreen	DarkGray	LightTurquiose	Diamond	Diamond	DarkBlue	Spade	UpArrow	LightYellow	LightYellow	LightPurple	LightPurple	Bar	Spade	DarkRed
Nail	Bar	DarkGreen	DarkGray	LightTurquiose	Diamond	Diamond	DarkBlue	Spade	UpArrow	LightYellow	LightYellow	LightPurple	LightPurple	Bar	Spade	DarkRed
Nail	Bar	DarkGreen	DarkGray	LightTurquiose	Diamond	Diamond	DarkBlue	Spade	UpArrow	LightYellow	LightYellow	LightPurple	LightPurple	Bar	Spade	DarkRed
Nail_Choice	Bar_Choice	DarkGreen_Choice	DarkGray_Choice	LightTurquiose_Choice	Diamond_Choice	Diamond_Choice	DarkBlue_Choice	Spade_Choice	UpArrow_Choice	LightYellow_Choice	LightYellow_Choice	LightPurple_Choice	LightPurple_Choice	Bar_Choice	Spade_Choice	DarkRed_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Nail	DarkBlue	LightTurquiose	DarkRed	Diamond	LightPurple	Rabbit	DarkGreen	Hat	Spade	LightYellow	DarkRed	DarkGreen	Hat	Nail	Rabbit	DarkGreen
Nail	DarkBlue	LightTurquiose	DarkRed	Diamond	LightPurple	Rabbit	DarkGreen	Hat	Spade	LightYellow	DarkRed	DarkGreen	Hat	Nail	Rabbit	DarkGreen
Nail	DarkBlue	LightTurquiose	DarkRed	Diamond	LightPurple	Rabbit	DarkGreen	Hat	Spade	LightYellow	DarkRed	DarkGreen	Hat	Nail	Rabbit	DarkGreen
Nail_Choice	DarkBlue_Choice	LightTurquiose_Choice	DarkRed_Choice	Diamond_Choice	LightPurple_Choice	Rabbit_Choice	DarkGreen_Choice	Hat_Choice	Spade_Choice	LightYellow_Choice	DarkRed_Choice	DarkGreen_Choice	Hat_Choice	Nail_Choice	Rabbit_Choice	DarkGreen_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGray	Nail	LightTurquiose	UpArrow	Diamond	LightPurple	DarkBlue	LightTurquiose	Bar	LightTurquiose	LightTurquiose	Spade	DarkBlue	Diamond	Spade	UpArrow	Bar
DarkGray	Nail	LightTurquiose	UpArrow	Diamond	LightPurple	DarkBlue	LightTurquiose	Bar	LightTurquiose	LightTurquiose	Spade	DarkBlue	Diamond	Spade	UpArrow	Bar
DarkGray	Nail	LightTurquiose	UpArrow	Diamond	LightPurple	DarkBlue	LightTurquiose	Bar	LightTurquiose	LightTurquiose	Spade	DarkBlue	Diamond	Spade	UpArrow	Bar
